Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
26/05/17,cycling,cycling,2017-05-26T07:57:20+02:00,2017-05-26T08:06:16+02:00,536,1.927,0,55
26/05/17,walking,walking,2017-05-26T08:07:35+02:00,2017-05-26T08:09:01+02:00,86,0.064,129,4
26/05/17,walking,walking,2017-05-26T09:11:07+02:00,2017-05-26T09:13:06+02:00,119,0.075,151,5
26/05/17,walking,walking,2017-05-26T12:23:46+02:00,2017-05-26T12:32:36+02:00,530,0.499,901,31
26/05/17,walking,walking,2017-05-26T12:33:06+02:00,2017-05-26T12:33:45+02:00,39,0.030,60,2
26/05/17,walking,walking,2017-05-26T13:03:40+02:00,2017-05-26T13:12:53+02:00,553,0.666,976,42
26/05/17,walking,walking,2017-05-26T13:13:49+02:00,2017-05-26T13:14:54+02:00,65,0.049,98,3
26/05/17,walking,walking,2017-05-26T16:24:27+02:00,2017-05-26T16:25:16+02:00,49,0.040,80,3
26/05/17,cycling,cycling,2017-05-26T16:33:16+02:00,2017-05-26T16:43:34+02:00,618,2.072,0,60
26/05/17,walking,walking,2017-05-26T16:44:57+02:00,2017-05-26T16:45:08+02:00,11,0.008,16,1
26/05/17,walking,walking,2017-05-26T19:28:26+02:00,2017-05-26T19:28:55+02:00,29,0.015,30,1
26/05/17,walking,walking,2017-05-26T21:12:32+02:00,2017-05-26T21:13:01+02:00,29,0.020,40,1
26/05/17,transport,transport,2017-05-26T21:14:37+02:00,2017-05-26T21:21:30+02:00,413,1.175,0,0
26/05/17,walking,walking,2017-05-26T21:22:18+02:00,2017-05-26T21:22:51+02:00,33,0.025,50,2
26/05/17,transport,transport,2017-05-26T21:54:12+02:00,2017-05-26T21:57:11+02:00,179,0.517,0,0
26/05/17,walking,walking,2017-05-26T21:57:12+02:00,2017-05-26T21:57:42+02:00,30,0.022,45,1
26/05/17,walking,walking,2017-05-26T22:17:29+02:00,2017-05-26T22:17:43+02:00,14,0.007,15,0
26/05/17,walking,walking,2017-05-26T22:18:29+02:00,2017-05-26T22:36:16+02:00,1067,1.263,1680,80
26/05/17,walking,walking,2017-05-26T22:37:09+02:00,2017-05-26T22:37:23+02:00,14,0.011,22,1
