Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/06/17,walking,walking,2017-06-10T00:54:50+02:00,2017-06-10T00:56:47+02:00,117,0.088,177,6
10/06/17,walking,walking,2017-06-10T01:10:06+02:00,2017-06-10T01:10:35+02:00,29,0.015,30,1
10/06/17,walking,walking,2017-06-10T01:12:50+02:00,2017-06-10T01:32:46+02:00,1196,1.446,1729,91
10/06/17,walking,walking,2017-06-10T01:33:50+02:00,2017-06-10T01:34:43+02:00,53,0.040,80,3
10/06/17,walking,walking,2017-06-10T02:44:13+02:00,2017-06-10T02:45:08+02:00,55,0.042,84,3
10/06/17,transport,transport,2017-06-10T02:48:56+02:00,2017-06-10T03:03:45+02:00,889,2.663,0,0
10/06/17,walking,walking,2017-06-10T03:05:30+02:00,2017-06-10T03:05:41+02:00,11,0.008,16,1
10/06/17,walking,walking,2017-06-10T10:40:23+02:00,2017-06-10T10:41:06+02:00,43,0.030,60,2
10/06/17,walking,walking,2017-06-10T11:16:05+02:00,2017-06-10T11:17:36+02:00,91,0.061,122,4
10/06/17,cycling,cycling,2017-06-10T11:38:30+02:00,2017-06-10T11:51:06+02:00,756,3.146,0,89
10/06/17,walking,walking,2017-06-10T11:52:13+02:00,2017-06-10T11:52:44+02:00,31,0.023,47,1
10/06/17,walking,walking,2017-06-10T12:00:13+02:00,2017-06-10T12:01:16+02:00,63,0.050,100,3
10/06/17,cycling,cycling,2017-06-10T12:13:41+02:00,2017-06-10T12:34:13+02:00,1232,4.493,0,129
10/06/17,walking,walking,2017-06-10T12:36:01+02:00,2017-06-10T12:38:51+02:00,170,0.192,256,12
10/06/17,walking,walking,2017-06-10T13:04:23+02:00,2017-06-10T13:04:52+02:00,29,0.015,30,1
10/06/17,transport,transport,2017-06-10T13:04:54+02:00,2017-06-10T13:07:24+02:00,150,0.651,0,0
10/06/17,cycling,cycling,2017-06-10T13:07:24+02:00,2017-06-10T13:22:19+02:00,895,3.335,0,96
10/06/17,walking,walking,2017-06-10T13:22:34+02:00,2017-06-10T13:23:12+02:00,38,0.028,57,2
10/06/17,walking,walking,2017-06-10T13:45:45+02:00,2017-06-10T13:46:04+02:00,19,0.015,30,1
10/06/17,transport,transport,2017-06-10T13:47:13+02:00,2017-06-10T13:57:12+02:00,599,0.838,0,0
10/06/17,walking,walking,2017-06-10T13:58:00+02:00,2017-06-10T13:58:19+02:00,19,0.015,30,1
10/06/17,walking,walking,2017-06-10T14:01:14+02:00,2017-06-10T14:01:16+02:00,2,0.001,3,0
10/06/17,cycling,cycling,2017-06-10T14:01:30+02:00,2017-06-10T14:34:03+02:00,1953,6.198,0,181
10/06/17,walking,walking,2017-06-10T14:35:55+02:00,2017-06-10T14:45:11+02:00,556,0.625,834,39
10/06/17,walking,walking,2017-06-10T15:02:25+02:00,2017-06-10T15:06:33+02:00,248,0.276,368,17
10/06/17,cycling,cycling,2017-06-10T15:10:52+02:00,2017-06-10T15:19:45+02:00,533,1.604,0,47
10/06/17,walking,walking,2017-06-10T15:21:46+02:00,2017-06-10T15:22:12+02:00,26,0.020,40,1
10/06/17,transport,transport,2017-06-10T15:24:37+02:00,2017-06-10T15:29:23+02:00,286,0.415,0,0
10/06/17,cycling,cycling,2017-06-10T19:54:17+02:00,2017-06-10T20:07:03+02:00,766,3.227,0,91
10/06/17,transport,transport,2017-06-10T21:24:21+02:00,2017-06-10T21:43:04+02:00,1123,3.972,0,0
10/06/17,walking,walking,2017-06-10T21:43:05+02:00,2017-06-10T21:44:44+02:00,99,0.074,149,5
10/06/17,walking,walking,2017-06-10T22:30:19+02:00,2017-06-10T22:31:17+02:00,58,0.043,87,3
10/06/17,transport,transport,2017-06-10T22:34:31+02:00,2017-06-10T22:44:01+02:00,570,0.704,0,0
