Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
07/06/17,transport,transport,2017-06-07T06:42:02+02:00,2017-06-07T06:58:42+02:00,1000,1.675,0,0
07/06/17,walking,walking,2017-06-07T06:58:42+02:00,2017-06-07T06:59:22+02:00,40,0.030,60,2
07/06/17,walking,walking,2017-06-07T08:19:21+02:00,2017-06-07T08:20:57+02:00,96,0.070,140,4
07/06/17,walking,walking,2017-06-07T08:24:54+02:00,2017-06-07T08:26:07+02:00,73,0.055,110,3
07/06/17,walking,walking,2017-06-07T09:58:04+02:00,2017-06-07T09:58:33+02:00,29,0.015,30,1
07/06/17,walking,walking,2017-06-07T12:16:15+02:00,2017-06-07T12:18:05+02:00,110,0.085,171,5
07/06/17,walking,walking,2017-06-07T12:20:32+02:00,2017-06-07T12:24:02+02:00,210,0.237,316,15
07/06/17,walking,walking,2017-06-07T12:49:34+02:00,2017-06-07T12:53:10+02:00,216,0.407,400,26
07/06/17,walking,walking,2017-06-07T12:53:11+02:00,2017-06-07T12:54:54+02:00,103,0.077,155,5
07/06/17,walking,walking,2017-06-07T16:21:16+02:00,2017-06-07T16:21:45+02:00,29,0.030,60,2
07/06/17,transport,transport,2017-06-07T16:29:04+02:00,2017-06-07T16:38:04+02:00,540,2.399,0,0
07/06/17,walking,walking,2017-06-07T16:39:31+02:00,2017-06-07T16:39:50+02:00,19,0.015,30,1
07/06/17,walking,walking,2017-06-07T20:56:04+02:00,2017-06-07T20:56:33+02:00,29,0.015,30,1
