Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
28/03/17,walking,walking,2017-03-28T08:39:57+02:00,2017-03-28T08:40:26+02:00,29,0.014,20,1
28/03/17,walking,walking,2017-03-28T09:13:41+02:00,2017-03-28T09:15:18+02:00,97,0.065,130,4
28/03/17,transport,transport,2017-03-28T09:20:55+02:00,2017-03-28T10:02:39+02:00,2504,16.035,0,0
28/03/17,walking,walking,2017-03-28T10:02:39+02:00,2017-03-28T10:12:18+02:00,579,0.842,1062,53
28/03/17,walking,walking,2017-03-28T10:15:01+02:00,2017-03-28T10:15:22+02:00,21,0.016,33,1
28/03/17,walking,walking,2017-03-28T10:20:04+02:00,2017-03-28T10:23:03+02:00,179,0.384,320,24
28/03/17,walking,walking,2017-03-28T10:23:04+02:00,2017-03-28T10:29:16+02:00,372,0.418,558,26
28/03/17,walking,walking,2017-03-28T11:50:26+02:00,2017-03-28T11:50:55+02:00,29,0.014,20,1
28/03/17,walking,walking,2017-03-28T11:52:55+02:00,2017-03-28T11:55:44+02:00,169,0.114,228,7
28/03/17,walking,walking,2017-03-28T12:05:23+02:00,2017-03-28T12:05:46+02:00,23,0.017,35,1
28/03/17,walking,walking,2017-03-28T12:28:13+02:00,2017-03-28T12:30:27+02:00,134,0.151,201,10
28/03/17,walking,walking,2017-03-28T15:57:28+02:00,2017-03-28T15:57:57+02:00,29,0.035,70,2
28/03/17,walking,walking,2017-03-28T16:00:01+02:00,2017-03-28T16:00:30+02:00,29,0.025,50,2
28/03/17,walking,walking,2017-03-28T16:02:14+02:00,2017-03-28T16:07:22+02:00,308,0.377,442,24
28/03/17,transport,transport,2017-03-28T16:07:22+02:00,2017-03-28T16:40:09+02:00,1967,14.780,0,0
28/03/17,cycling,cycling,2017-03-28T16:40:09+02:00,2017-03-28T16:48:11+02:00,482,1.614,0,47
28/03/17,walking,walking,2017-03-28T16:56:27+02:00,2017-03-28T16:57:07+02:00,40,0.030,60,2
28/03/17,walking,walking,2017-03-28T17:00:13+02:00,2017-03-28T17:00:42+02:00,29,0.015,30,1
28/03/17,walking,walking,2017-03-28T18:00:02+02:00,2017-03-28T18:00:31+02:00,29,0.015,30,1
28/03/17,walking,walking,2017-03-28T19:16:51+02:00,2017-03-28T19:17:20+02:00,29,0.015,30,1
28/03/17,walking,walking,2017-03-28T19:19:12+02:00,2017-03-28T19:21:54+02:00,162,0.147,294,9
28/03/17,transport,transport,2017-03-28T19:21:54+02:00,2017-03-28T19:34:42+02:00,768,3.410,0,0
28/03/17,walking,walking,2017-03-28T19:36:29+02:00,2017-03-28T19:39:58+02:00,209,0.236,314,15
28/03/17,transport,transport,2017-03-28T19:50:11+02:00,2017-03-28T20:07:40+02:00,1049,2.379,0,0
28/03/17,cycling,cycling,2017-03-28T20:07:40+02:00,2017-03-28T20:10:51+02:00,191,0.583,0,17
28/03/17,walking,walking,2017-03-28T20:10:52+02:00,2017-03-28T20:11:32+02:00,40,0.030,60,2
