Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/05/17,walking,walking,2017-05-12T00:02:16+02:00,2017-05-12T00:02:45+02:00,29,0.025,50,2
12/05/17,cycling,cycling,2017-05-12T00:04:58+02:00,2017-05-12T00:12:51+02:00,473,1.542,0,45
12/05/17,walking,walking,2017-05-12T00:17:08+02:00,2017-05-12T00:17:27+02:00,19,0.015,30,1
12/05/17,cycling,cycling,2017-05-12T00:30:28+02:00,2017-05-12T00:37:31+02:00,423,1.160,0,34
12/05/17,walking,walking,2017-05-12T00:38:26+02:00,2017-05-12T00:39:44+02:00,78,0.059,118,4
12/05/17,walking,walking,2017-05-12T11:09:21+02:00,2017-05-12T11:10:11+02:00,50,0.025,50,2
12/05/17,cycling,cycling,2017-05-12T11:14:30+02:00,2017-05-12T12:04:09+02:00,2979,16.403,0,455
12/05/17,walking,walking,2017-05-12T12:16:10+02:00,2017-05-12T12:16:43+02:00,33,0.025,50,2
12/05/17,cycling,cycling,2017-05-12T12:20:07+02:00,2017-05-12T12:23:06+02:00,179,0.352,0,11
12/05/17,walking,walking,2017-05-12T12:23:07+02:00,2017-05-12T12:23:22+02:00,15,0.011,23,1
12/05/17,walking,walking,2017-05-12T15:21:15+02:00,2017-05-12T15:21:44+02:00,29,0.030,60,2
12/05/17,walking,walking,2017-05-12T15:23:52+02:00,2017-05-12T15:29:57+02:00,365,0.310,464,20
12/05/17,walking,walking,2017-05-12T15:49:45+02:00,2017-05-12T15:57:45+02:00,480,0.326,652,21
12/05/17,walking,walking,2017-05-12T15:59:32+02:00,2017-05-12T16:00:59+02:00,87,0.068,136,4
12/05/17,walking,walking,2017-05-12T16:07:42+02:00,2017-05-12T16:11:52+02:00,250,0.304,502,19
12/05/17,walking,walking,2017-05-12T16:11:53+02:00,2017-05-12T16:12:45+02:00,52,0.039,78,2
12/05/17,walking,walking,2017-05-12T17:00:00+02:00,2017-05-12T17:00:39+02:00,39,0.024,49,2
12/05/17,cycling,cycling,2017-05-12T18:33:55+02:00,2017-05-12T19:24:47+02:00,3052,17.002,0,471
12/05/17,walking,walking,2017-05-12T19:54:30+02:00,2017-05-12T19:54:43+02:00,13,0.010,20,1
12/05/17,walking,walking,2017-05-12T20:08:14+02:00,2017-05-12T20:09:17+02:00,63,0.040,80,3
12/05/17,cycling,cycling,2017-05-12T20:13:08+02:00,2017-05-12T20:18:38+02:00,330,1.470,0,41
12/05/17,walking,walking,2017-05-12T20:23:47+02:00,2017-05-12T20:24:06+02:00,19,0.015,30,1
12/05/17,cycling,cycling,2017-05-12T23:14:33+02:00,2017-05-12T23:24:21+02:00,588,2.494,0,71
12/05/17,walking,walking,2017-05-12T23:29:06+02:00,2017-05-12T23:29:39+02:00,33,0.025,50,2
