Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
19/08/17,walking,walking,2017-08-19T11:21:19+02:00,2017-08-19T11:25:44+02:00,265,0.155,254,10
19/08/17,transport,transport,2017-08-19T11:25:44+02:00,2017-08-19T12:02:41+02:00,2217,22.674,0,0
19/08/17,transport,transport,2017-08-19T13:25:07+02:00,2017-08-19T14:21:04+02:00,3357,31.585,0,0
19/08/17,walking,walking,2017-08-19T14:24:16+02:00,2017-08-19T14:24:29+02:00,13,0.010,20,1
19/08/17,walking,walking,2017-08-19T15:00:14+02:00,2017-08-19T15:01:40+02:00,86,0.062,124,4
19/08/17,walking,walking,2017-08-19T16:40:04+02:00,2017-08-19T16:41:37+02:00,93,0.064,128,4
19/08/17,transport,transport,2017-08-19T16:44:55+02:00,2017-08-19T17:04:14+02:00,1159,13.297,0,0
19/08/17,walking,walking,2017-08-19T17:04:14+02:00,2017-08-19T17:11:10+02:00,416,0.274,476,17
19/08/17,walking,walking,2017-08-19T19:52:07+02:00,2017-08-19T19:52:25+02:00,18,0.014,28,1
19/08/17,walking,walking,2017-08-19T19:53:34+02:00,2017-08-19T19:57:25+02:00,231,0.201,245,13
19/08/17,walking,walking,2017-08-19T21:25:52+02:00,2017-08-19T21:26:11+02:00,19,0.015,30,1
19/08/17,walking,walking,2017-08-19T21:30:51+02:00,2017-08-19T21:40:52+02:00,601,0.512,879,32
19/08/17,walking,walking,2017-08-19T23:12:34+02:00,2017-08-19T23:19:52+02:00,438,0.573,792,36
19/08/17,transport,transport,2017-08-19T23:19:52+02:00,2017-08-19T23:34:56+02:00,904,12.902,0,0
19/08/17,walking,walking,2017-08-19T23:36:28+02:00,2017-08-19T23:37:22+02:00,54,0.041,82,3
