Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
02/08/17,walking,walking,2017-08-02T12:30:42+02:00,2017-08-02T12:32:19+02:00,97,0.072,145,5
02/08/17,walking,walking,2017-08-02T13:25:50+02:00,2017-08-02T13:27:00+02:00,70,0.055,110,3
02/08/17,walking,walking,2017-08-02T13:35:22+02:00,2017-08-02T14:07:33+02:00,1931,3.010,2781,190
02/08/17,walking,walking,2017-08-02T14:13:38+02:00,2017-08-02T14:14:05+02:00,27,0.021,42,1
02/08/17,walking,walking,2017-08-02T14:20:07+02:00,2017-08-02T14:37:14+02:00,1027,1.228,1437,77
02/08/17,walking,walking,2017-08-02T14:37:14+02:00,2017-08-02T14:37:24+02:00,10,0.008,16,1
02/08/17,walking,walking,2017-08-02T14:43:11+02:00,2017-08-02T15:32:04+02:00,2933,3.981,4757,251
02/08/17,walking,walking,2017-08-02T17:30:07+02:00,2017-08-02T17:32:27+02:00,140,0.158,210,10
02/08/17,transport,transport,2017-08-02T17:38:27+02:00,2017-08-02T18:33:36+02:00,3309,14.517,0,0
02/08/17,walking,walking,2017-08-02T18:49:15+02:00,2017-08-02T18:49:41+02:00,26,0.020,40,1
02/08/17,walking,walking,2017-08-02T18:50:20+02:00,2017-08-02T18:51:26+02:00,66,0.050,100,3
02/08/17,walking,walking,2017-08-02T19:04:34+02:00,2017-08-02T19:10:56+02:00,382,0.435,580,27
02/08/17,walking,walking,2017-08-02T19:47:21+02:00,2017-08-02T19:51:59+02:00,278,0.167,218,11
02/08/17,walking,walking,2017-08-02T19:55:46+02:00,2017-08-02T19:56:39+02:00,53,0.040,80,3
02/08/17,walking,walking,2017-08-02T20:59:42+02:00,2017-08-02T20:59:53+02:00,11,0.008,17,1
02/08/17,walking,walking,2017-08-02T21:00:00+02:00,2017-08-02T21:00:12+02:00,12,0.006,12,0
02/08/17,transport,transport,2017-08-02T21:03:55+02:00,2017-08-02T21:06:42+02:00,167,0.735,0,0
02/08/17,transport,transport,2017-08-02T21:28:33+02:00,2017-08-02T23:04:30+02:00,5757,703.914,0,0
02/08/17,walking,walking,2017-08-02T23:13:17+02:00,2017-08-02T23:15:14+02:00,117,0.088,176,6
02/08/17,walking,walking,2017-08-02T23:18:42+02:00,2017-08-02T23:19:53+02:00,71,0.053,106,3
02/08/17,transport,transport,2017-08-02T23:49:26+02:00,2017-08-02T23:59:59+02:00,633,1.540,0,0
