Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
02/04/17,walking,walking,2017-04-02T09:25:53+02:00,2017-04-02T09:27:19+02:00,86,0.057,114,4
02/04/17,walking,walking,2017-04-02T10:00:00+02:00,2017-04-02T10:00:44+02:00,44,0.040,80,3
02/04/17,walking,walking,2017-04-02T10:06:35+02:00,2017-04-02T10:09:34+02:00,179,0.202,269,13
02/04/17,walking,walking,2017-04-02T10:21:15+02:00,2017-04-02T10:32:30+02:00,675,1.140,1145,72
02/04/17,transport,transport,2017-04-02T10:43:07+02:00,2017-04-02T11:03:45+02:00,1238,21.437,0,0
02/04/17,transport,transport,2017-04-02T11:15:00+02:00,2017-04-02T11:52:45+02:00,2265,32.499,0,0
02/04/17,transport,transport,2017-04-02T12:18:34+02:00,2017-04-02T15:43:43+02:00,12309,329.285,0,0
02/04/17,walking,walking,2017-04-02T15:43:43+02:00,2017-04-02T15:57:43+02:00,840,0.827,1654,52
02/04/17,transport,transport,2017-04-02T15:57:44+02:00,2017-04-02T16:12:09+02:00,865,5.937,0,0
02/04/17,walking,walking,2017-04-02T16:14:31+02:00,2017-04-02T16:18:31+02:00,240,0.287,383,18
02/04/17,walking,walking,2017-04-02T16:18:32+02:00,2017-04-02T16:21:31+02:00,179,0.170,250,11
02/04/17,walking,walking,2017-04-02T16:21:32+02:00,2017-04-02T16:22:20+02:00,48,0.036,73,2
