Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
05/08/17,walking,walking,2017-08-05T08:43:49+02:00,2017-08-05T08:44:18+02:00,29,0.015,30,1
05/08/17,walking,walking,2017-08-05T09:14:55+02:00,2017-08-05T09:15:24+02:00,29,0.015,30,1
05/08/17,walking,walking,2017-08-05T10:31:43+02:00,2017-08-05T10:32:12+02:00,29,0.025,50,2
05/08/17,walking,walking,2017-08-05T11:14:02+02:00,2017-08-05T11:15:54+02:00,112,0.092,184,6
05/08/17,transport,transport,2017-08-05T11:20:01+02:00,2017-08-05T12:02:32+02:00,2551,21.650,0,0
05/08/17,walking,walking,2017-08-05T13:33:31+02:00,2017-08-05T13:33:44+02:00,13,0.010,20,1
05/08/17,walking,walking,2017-08-05T13:35:24+02:00,2017-08-05T13:38:01+02:00,157,0.184,219,12
05/08/17,transport,transport,2017-08-05T13:38:01+02:00,2017-08-05T14:00:21+02:00,1340,11.890,0,0
05/08/17,walking,walking,2017-08-05T14:00:22+02:00,2017-08-05T14:01:24+02:00,62,0.046,93,3
05/08/17,walking,walking,2017-08-05T14:03:16+02:00,2017-08-05T14:10:15+02:00,419,0.302,443,19
05/08/17,walking,walking,2017-08-05T14:12:15+02:00,2017-08-05T14:18:45+02:00,390,0.544,546,34
05/08/17,walking,walking,2017-08-05T14:20:02+02:00,2017-08-05T14:22:59+02:00,177,0.199,266,13
05/08/17,transport,transport,2017-08-05T14:31:25+02:00,2017-08-05T15:02:46+02:00,1881,18.336,0,0
05/08/17,walking,walking,2017-08-05T15:02:46+02:00,2017-08-05T15:06:29+02:00,223,0.202,405,13
05/08/17,walking,walking,2017-08-05T15:18:23+02:00,2017-08-05T15:18:53+02:00,30,0.022,45,1
05/08/17,walking,walking,2017-08-05T15:22:35+02:00,2017-08-05T15:26:31+02:00,236,0.321,427,20
05/08/17,transport,transport,2017-08-05T15:26:32+02:00,2017-08-05T15:50:27+02:00,1435,13.516,0,0
05/08/17,walking,walking,2017-08-05T15:50:41+02:00,2017-08-05T15:52:07+02:00,86,0.065,130,4
05/08/17,walking,walking,2017-08-05T21:01:50+02:00,2017-08-05T21:02:56+02:00,66,0.042,84,3
05/08/17,transport,transport,2017-08-05T21:38:18+02:00,2017-08-05T22:12:19+02:00,2041,22.264,0,0
05/08/17,walking,walking,2017-08-05T22:26:50+02:00,2017-08-05T22:27:23+02:00,33,0.025,50,2
