Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
24/08/17,walking,walking,2017-08-24T08:10:50+02:00,2017-08-24T08:12:06+02:00,76,0.045,90,3
24/08/17,cycling,cycling,2017-08-24T08:30:16+02:00,2017-08-24T08:40:00+02:00,584,1.756,0,51
24/08/17,walking,walking,2017-08-24T08:40:38+02:00,2017-08-24T08:41:40+02:00,62,0.046,93,3
24/08/17,walking,walking,2017-08-24T09:21:50+02:00,2017-08-24T09:23:15+02:00,85,0.071,143,4
24/08/17,walking,walking,2017-08-24T12:00:53+02:00,2017-08-24T12:02:03+02:00,70,0.050,100,3
24/08/17,walking,walking,2017-08-24T12:02:52+02:00,2017-08-24T12:10:46+02:00,474,0.434,625,27
24/08/17,walking,walking,2017-08-24T12:11:09+02:00,2017-08-24T12:12:04+02:00,55,0.041,83,3
24/08/17,walking,walking,2017-08-24T12:49:32+02:00,2017-08-24T12:58:29+02:00,537,0.511,837,32
24/08/17,walking,walking,2017-08-24T13:01:50+02:00,2017-08-24T13:02:50+02:00,60,0.045,90,3
24/08/17,walking,walking,2017-08-24T16:27:35+02:00,2017-08-24T16:28:42+02:00,67,0.042,85,3
24/08/17,transport,transport,2017-08-24T16:43:05+02:00,2017-08-24T16:45:34+02:00,149,0.413,0,0
24/08/17,walking,walking,2017-08-24T16:45:34+02:00,2017-08-24T16:47:00+02:00,86,0.079,158,5
24/08/17,walking,walking,2017-08-24T16:47:01+02:00,2017-08-24T16:48:44+02:00,103,0.077,155,5
24/08/17,walking,walking,2017-08-24T17:03:06+02:00,2017-08-24T17:07:55+02:00,289,0.314,419,20
24/08/17,transport,transport,2017-08-24T17:57:47+02:00,2017-08-24T18:00:11+02:00,144,0.902,0,0
24/08/17,cycling,cycling,2017-08-24T18:00:11+02:00,2017-08-24T18:04:27+02:00,256,0.759,0,22
24/08/17,walking,walking,2017-08-24T18:04:49+02:00,2017-08-24T18:05:28+02:00,39,0.030,60,2
24/08/17,walking,walking,2017-08-24T18:47:10+02:00,2017-08-24T19:00:58+02:00,828,0.873,1080,55
24/08/17,walking,walking,2017-08-24T19:00:59+02:00,2017-08-24T19:10:36+02:00,577,0.649,866,41
24/08/17,walking,walking,2017-08-24T19:36:37+02:00,2017-08-24T19:51:22+02:00,885,1.010,1506,64
