Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
07/07/17,walking,walking,2017-07-07T01:23:15+02:00,2017-07-07T01:23:28+02:00,13,0.010,20,1
07/07/17,walking,walking,2017-07-07T08:40:47+02:00,2017-07-07T08:41:16+02:00,29,0.015,30,1
07/07/17,cycling,cycling,2017-07-07T10:51:50+02:00,2017-07-07T12:27:06+02:00,5716,35.018,0,964
07/07/17,walking,walking,2017-07-07T13:52:21+02:00,2017-07-07T13:52:41+02:00,20,0.015,30,1
07/07/17,cycling,cycling,2017-07-07T13:56:47+02:00,2017-07-07T15:10:51+02:00,4444,13.610,0,398
07/07/17,cycling,cycling,2017-07-07T15:19:37+02:00,2017-07-07T16:30:05+02:00,4228,27.184,0,746
07/07/17,cycling,cycling,2017-07-07T17:24:31+02:00,2017-07-07T17:43:22+02:00,1131,6.725,0,186
07/07/17,cycling,cycling,2017-07-07T18:03:04+02:00,2017-07-07T19:13:13+02:00,4209,28.714,0,786
07/07/17,cycling,cycling,2017-07-07T19:47:47+02:00,2017-07-07T20:58:45+02:00,4258,27.228,0,748
