Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
25/08/17,walking,walking,2017-08-25T08:51:26+02:00,2017-08-25T08:51:43+02:00,17,0.012,25,1
25/08/17,cycling,cycling,2017-08-25T08:52:03+02:00,2017-08-25T09:01:59+02:00,596,1.663,0,49
25/08/17,walking,walking,2017-08-25T09:02:00+02:00,2017-08-25T09:02:23+02:00,23,0.017,34,1
25/08/17,walking,walking,2017-08-25T10:10:58+02:00,2017-08-25T10:12:29+02:00,91,0.056,112,4
25/08/17,walking,walking,2017-08-25T11:16:37+02:00,2017-08-25T11:20:04+02:00,207,0.196,279,12
25/08/17,walking,walking,2017-08-25T11:20:08+02:00,2017-08-25T11:25:47+02:00,339,0.381,508,24
25/08/17,walking,walking,2017-08-25T12:00:00+02:00,2017-08-25T12:03:47+02:00,227,0.170,219,11
25/08/17,walking,walking,2017-08-25T12:23:39+02:00,2017-08-25T12:25:45+02:00,126,0.141,189,9
25/08/17,walking,walking,2017-08-25T12:25:52+02:00,2017-08-25T12:33:20+02:00,448,0.544,734,34
25/08/17,walking,walking,2017-08-25T14:14:50+02:00,2017-08-25T14:16:22+02:00,92,0.069,138,4
25/08/17,walking,walking,2017-08-25T15:43:01+02:00,2017-08-25T15:43:30+02:00,29,0.025,50,2
25/08/17,walking,walking,2017-08-25T16:00:40+02:00,2017-08-25T16:01:09+02:00,29,0.020,40,1
25/08/17,walking,walking,2017-08-25T16:41:21+02:00,2017-08-25T16:46:02+02:00,281,0.182,167,11
25/08/17,cycling,cycling,2017-08-25T16:46:02+02:00,2017-08-25T16:53:50+02:00,468,1.718,0,49
25/08/17,transport,transport,2017-08-25T16:53:51+02:00,2017-08-25T17:00:33+02:00,402,0.352,0,0
