Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
27/05/17,walking,walking,2017-05-27T00:09:46+02:00,2017-05-27T00:10:57+02:00,71,0.048,96,3
27/05/17,walking,walking,2017-05-27T00:14:40+02:00,2017-05-27T00:36:06+02:00,1286,1.448,1972,91
27/05/17,walking,walking,2017-05-27T00:52:14+02:00,2017-05-27T01:06:29+02:00,855,0.915,1362,58
27/05/17,cycling,cycling,2017-05-27T01:15:33+02:00,2017-05-27T01:21:22+02:00,349,0.852,0,26
27/05/17,walking,walking,2017-05-27T01:21:23+02:00,2017-05-27T01:22:30+02:00,67,0.050,100,3
27/05/17,cycling,cycling,2017-05-27T01:34:30+02:00,2017-05-27T01:42:11+02:00,461,1.264,0,37
27/05/17,walking,walking,2017-05-27T01:42:12+02:00,2017-05-27T01:44:19+02:00,127,0.143,191,9
27/05/17,walking,walking,2017-05-27T10:27:35+02:00,2017-05-27T10:28:53+02:00,78,0.056,112,4
27/05/17,walking,walking,2017-05-27T10:30:11+02:00,2017-05-27T10:32:45+02:00,154,0.173,231,11
27/05/17,walking,walking,2017-05-27T10:45:38+02:00,2017-05-27T10:50:51+02:00,313,0.278,410,18
27/05/17,walking,walking,2017-05-27T10:51:25+02:00,2017-05-27T10:51:44+02:00,19,0.015,30,1
27/05/17,walking,walking,2017-05-27T19:44:47+02:00,2017-05-27T19:45:16+02:00,29,0.020,40,1
27/05/17,walking,walking,2017-05-27T19:49:17+02:00,2017-05-27T20:44:24+02:00,3307,4.025,5427,253
27/05/17,walking,walking,2017-05-27T20:47:54+02:00,2017-05-27T20:51:37+02:00,223,0.251,335,16
27/05/17,walking,walking,2017-05-27T21:07:07+02:00,2017-05-27T21:26:00+02:00,1133,1.475,1586,93
27/05/17,walking,walking,2017-05-27T21:28:59+02:00,2017-05-27T21:30:02+02:00,63,0.047,95,3
27/05/17,walking,walking,2017-05-27T21:40:00+02:00,2017-05-27T21:47:01+02:00,421,0.932,589,59
27/05/17,walking,walking,2017-05-27T21:52:04+02:00,2017-05-27T21:52:07+02:00,3,0.003,6,0
27/05/17,cycling,cycling,2017-05-27T21:52:19+02:00,2017-05-27T21:58:24+02:00,365,0.720,0,22
27/05/17,walking,walking,2017-05-27T21:58:51+02:00,2017-05-27T22:05:15+02:00,384,0.375,507,24
27/05/17,walking,walking,2017-05-27T22:30:26+02:00,2017-05-27T22:31:26+02:00,60,0.045,90,3
27/05/17,walking,walking,2017-05-27T22:36:08+02:00,2017-05-27T23:01:56+02:00,1548,1.582,2167,100
27/05/17,walking,walking,2017-05-27T23:04:57+02:00,2017-05-27T23:06:09+02:00,72,0.054,109,3
