Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
25/07/17,walking,walking,2017-07-25T05:46:07+02:00,2017-07-25T05:48:44+02:00,157,0.180,209,11
25/07/17,cycling,cycling,2017-07-25T08:26:29+02:00,2017-07-25T08:41:03+02:00,874,2.603,0,76
25/07/17,cycling,cycling,2017-07-25T09:23:09+02:00,2017-07-25T10:12:29+02:00,2960,14.163,0,397
25/07/17,walking,walking,2017-07-25T10:28:26+02:00,2017-07-25T10:28:45+02:00,19,0.015,30,1
25/07/17,cycling,cycling,2017-07-25T10:30:09+02:00,2017-07-25T12:37:29+02:00,7640,35.116,0,987
25/07/17,cycling,cycling,2017-07-25T13:17:53+02:00,2017-07-25T14:13:01+02:00,3308,16.028,0,449
25/07/17,cycling,cycling,2017-07-25T14:36:00+02:00,2017-07-25T15:41:44+02:00,3944,17.283,0,488
25/07/17,cycling,cycling,2017-07-25T15:52:35+02:00,2017-07-25T16:42:01+02:00,2966,16.336,0,453
25/07/17,cycling,cycling,2017-07-25T17:14:30+02:00,2017-07-25T17:35:21+02:00,1251,5.351,0,151
25/07/17,cycling,cycling,2017-07-25T17:38:35+02:00,2017-07-25T17:55:10+02:00,995,3.212,0,93
25/07/17,walking,walking,2017-07-25T19:50:05+02:00,2017-07-25T19:50:25+02:00,20,0.015,30,1
25/07/17,cycling,cycling,2017-07-25T20:07:28+02:00,2017-07-25T20:41:45+02:00,2057,8.049,0,229
25/07/17,walking,walking,2017-07-25T21:24:14+02:00,2017-07-25T21:25:24+02:00,70,0.052,105,3
25/07/17,walking,walking,2017-07-25T22:30:45+02:00,2017-07-25T22:30:58+02:00,13,0.010,20,1
