Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
29/05/17,walking,walking,2017-05-29T07:59:14+02:00,2017-05-29T07:59:17+02:00,3,0.003,6,0
29/05/17,walking,walking,2017-05-29T08:00:58+02:00,2017-05-29T08:01:38+02:00,40,0.092,77,6
29/05/17,cycling,cycling,2017-05-29T08:01:38+02:00,2017-05-29T08:08:50+02:00,432,1.867,0,53
29/05/17,walking,walking,2017-05-29T08:09:33+02:00,2017-05-29T08:12:13+02:00,160,0.180,241,11
29/05/17,walking,walking,2017-05-29T12:04:10+02:00,2017-05-29T12:12:54+02:00,524,0.474,839,30
29/05/17,walking,walking,2017-05-29T12:15:17+02:00,2017-05-29T12:15:52+02:00,35,0.026,52,2
29/05/17,walking,walking,2017-05-29T12:37:17+02:00,2017-05-29T12:45:14+02:00,477,0.521,862,33
29/05/17,walking,walking,2017-05-29T14:31:48+02:00,2017-05-29T14:33:15+02:00,87,0.065,130,4
29/05/17,walking,walking,2017-05-29T16:10:54+02:00,2017-05-29T16:11:23+02:00,29,0.025,50,2
29/05/17,walking,walking,2017-05-29T16:13:26+02:00,2017-05-29T16:16:18+02:00,172,0.197,240,12
29/05/17,cycling,cycling,2017-05-29T16:16:18+02:00,2017-05-29T16:23:46+02:00,448,1.493,0,43
29/05/17,walking,walking,2017-05-29T16:23:47+02:00,2017-05-29T16:27:02+02:00,195,0.334,278,21
29/05/17,walking,walking,2017-05-29T16:27:03+02:00,2017-05-29T16:29:02+02:00,119,0.089,179,6
30/05/17,walking,walking,2017-05-30T08:17:30+02:00,2017-05-30T08:17:40+02:00,10,0.005,11,0
30/05/17,cycling,cycling,2017-05-30T08:18:01+02:00,2017-05-30T08:27:26+02:00,565,2.028,0,58
30/05/17,walking,walking,2017-05-30T08:45:47+02:00,2017-05-30T08:46:27+02:00,40,0.030,60,2
30/05/17,walking,walking,2017-05-30T09:59:57+02:00,2017-05-30T10:03:53+02:00,236,0.268,358,17
30/05/17,walking,walking,2017-05-30T12:13:00+02:00,2017-05-30T12:21:32+02:00,512,0.503,803,32
30/05/17,walking,walking,2017-05-30T12:21:33+02:00,2017-05-30T12:24:24+02:00,171,0.192,256,12
30/05/17,walking,walking,2017-05-30T12:54:26+02:00,2017-05-30T13:05:26+02:00,660,0.722,1142,45
30/05/17,walking,walking,2017-05-30T17:04:59+02:00,2017-05-30T17:05:39+02:00,40,0.030,60,2
30/05/17,cycling,cycling,2017-05-30T17:11:58+02:00,2017-05-30T17:15:16+02:00,198,0.740,0,21
30/05/17,transport,transport,2017-05-30T17:15:16+02:00,2017-05-30T17:21:57+02:00,401,0.841,0,0
30/05/17,walking,walking,2017-05-30T17:21:58+02:00,2017-05-30T17:25:43+02:00,225,0.418,315,26
30/05/17,walking,walking,2017-05-30T17:25:44+02:00,2017-05-30T17:26:07+02:00,23,0.017,34,1
31/05/17,walking,walking,2017-05-31T06:45:47+02:00,2017-05-31T06:45:51+02:00,4,0.002,5,0
31/05/17,cycling,cycling,2017-05-31T06:46:01+02:00,2017-05-31T06:53:14+02:00,433,1.720,0,49
31/05/17,walking,walking,2017-05-31T06:53:15+02:00,2017-05-31T06:56:00+02:00,165,0.186,248,12
31/05/17,walking,walking,2017-05-31T08:15:46+02:00,2017-05-31T08:19:33+02:00,227,0.268,358,17
31/05/17,walking,walking,2017-05-31T08:22:42+02:00,2017-05-31T08:23:52+02:00,70,0.052,105,3
31/05/17,walking,walking,2017-05-31T09:27:23+02:00,2017-05-31T09:28:49+02:00,86,0.073,147,5
31/05/17,walking,walking,2017-05-31T10:24:49+02:00,2017-05-31T10:25:18+02:00,29,0.015,30,1
31/05/17,walking,walking,2017-05-31T12:22:23+02:00,2017-05-31T12:29:30+02:00,427,0.473,595,30
31/05/17,walking,walking,2017-05-31T12:29:52+02:00,2017-05-31T12:30:59+02:00,67,0.050,100,3
31/05/17,walking,walking,2017-05-31T12:52:32+02:00,2017-05-31T13:00:18+02:00,466,0.566,879,36
31/05/17,walking,walking,2017-05-31T13:02:32+02:00,2017-05-31T13:03:12+02:00,40,0.030,60,2
