Date,Type,Name,Start,End,Duration
26/03/17,move,cycling,2017-03-26T01:01:53+01:00,2017-03-26T01:19:23+01:00,1050
26/03/17,place,"Place in Christianshavn, København",2017-03-26T01:19:24+01:00,2017-03-26T10:41:35+02:00,30131
26/03/17,move,running,2017-03-26T10:41:35+02:00,2017-03-26T11:25:49+02:00,2654
26/03/17,place,"Place in Christianshavn, København",2017-03-26T11:25:50+02:00,2017-03-26T12:28:20+02:00,3750
26/03/17,move,transport,2017-03-26T12:28:20+02:00,2017-03-26T13:00:00+02:00,1900
26/03/17,move,walking,2017-03-26T13:00:00+02:00,2017-03-26T13:04:17+02:00,257
26/03/17,place,Aji,2017-03-26T13:04:18+02:00,2017-03-26T14:15:12+02:00,4254
26/03/17,move,walking,2017-03-26T14:15:12+02:00,2017-03-26T14:19:24+02:00,252
26/03/17,place,Paradis Lyngby,2017-03-26T14:19:25+02:00,2017-03-26T14:46:56+02:00,1651
26/03/17,move,walking,2017-03-26T14:46:56+02:00,2017-03-26T14:56:51+02:00,595
26/03/17,place,Place in Kongens Lyngby,2017-03-26T14:56:52+02:00,2017-03-26T15:04:54+02:00,482
26/03/17,move,walking,2017-03-26T15:04:54+02:00,2017-03-26T15:14:39+02:00,585
26/03/17,place,Bus stop,2017-03-26T15:14:40+02:00,2017-03-26T15:53:55+02:00,2355
26/03/17,move,transport,2017-03-26T15:53:55+02:00,2017-03-26T16:01:09+02:00,434
26/03/17,move,walking,2017-03-26T16:01:09+02:00,2017-03-26T16:07:12+02:00,363
26/03/17,place,Place in Kongens Lyngby,2017-03-26T16:07:13+02:00,2017-03-26T20:16:14+02:00,14941
26/03/17,move,walking,2017-03-26T20:16:14+02:00,2017-03-26T20:22:49+02:00,395
26/03/17,move,transport,2017-03-26T20:22:49+02:00,2017-03-26T20:57:01+02:00,2052
26/03/17,move,walking,2017-03-26T20:57:02+02:00,2017-03-26T20:58:39+02:00,97
26/03/17,move,cycling,2017-03-26T20:58:39+02:00,2017-03-26T21:05:29+02:00,410
26/03/17,place,"Place in Christianshavn, København",2017-03-26T21:05:30+02:00,2017-03-27T00:00:00+02:00,10470
27/03/17,place,"Place in Christianshavn, København",2017-03-27T00:00:00+02:00,2017-03-27T08:52:49+02:00,31969
27/03/17,move,cycling,2017-03-27T08:52:49+02:00,2017-03-27T09:03:07+02:00,618
27/03/17,place,"Place in Østerport, København",2017-03-27T09:03:08+02:00,2017-03-27T12:11:35+02:00,11307
27/03/17,move,walking,2017-03-27T12:11:35+02:00,2017-03-27T12:21:37+02:00,602
27/03/17,place,"Place in Indre By, København",2017-03-27T12:21:38+02:00,2017-03-27T12:42:53+02:00,1275
27/03/17,move,walking,2017-03-27T12:42:53+02:00,2017-03-27T12:53:14+02:00,621
27/03/17,place,"Place in Østerport, København",2017-03-27T12:53:15+02:00,2017-03-27T17:35:30+02:00,16935
27/03/17,move,cycling,2017-03-27T17:35:30+02:00,2017-03-27T17:45:29+02:00,599
27/03/17,place,"Place in Christianshavn, København",2017-03-27T17:45:30+02:00,2017-03-27T17:59:19+02:00,829
27/03/17,move,running,2017-03-27T17:59:19+02:00,2017-03-27T18:43:49+02:00,2670
27/03/17,place,"Place in Christianshavn, København",2017-03-27T18:43:50+02:00,2017-03-27T21:30:22+02:00,9992
27/03/17,move,walking,2017-03-27T21:30:22+02:00,2017-03-27T21:34:42+02:00,260
27/03/17,place,"Place in Christianshavn, København",2017-03-27T21:34:43+02:00,2017-03-27T21:39:06+02:00,263
27/03/17,move,walking,2017-03-27T21:39:06+02:00,2017-03-27T21:46:48+02:00,462
27/03/17,place,"Place in Christianshavn, København",2017-03-27T21:46:48+02:00,2017-03-27T21:59:24+02:00,756
27/03/17,move,walking,2017-03-27T21:59:24+02:00,2017-03-27T22:07:25+02:00,481
27/03/17,place,"Place in Christianshavn, København",2017-03-27T22:07:26+02:00,2017-03-28T00:00:00+02:00,6754
28/03/17,place,"Place in Christianshavn, København",2017-03-28T00:00:00+02:00,2017-03-28T09:20:55+02:00,33655
28/03/17,move,transport,2017-03-28T09:20:55+02:00,2017-03-28T10:02:39+02:00,2504
