Date,Type,Name,Start,End,Duration
05/06/17,place,"Place in Christianshavn, København",2017-06-05T00:00:00+02:00,2017-06-05T10:49:17+02:00,38957
05/06/17,move,walking,2017-06-05T10:49:17+02:00,2017-06-05T11:11:01+02:00,1304
05/06/17,place,"Place in Indre By, København",2017-06-05T11:11:02+02:00,2017-06-05T12:09:51+02:00,3529
05/06/17,place,"Place in Indre By, København",2017-06-05T12:09:52+02:00,2017-06-05T12:13:25+02:00,213
05/06/17,move,walking,2017-06-05T12:13:25+02:00,2017-06-05T13:17:03+02:00,3818
05/06/17,move,transport,2017-06-05T13:17:03+02:00,2017-06-05T13:59:42+02:00,2559
05/06/17,place,Place in Kastrup,2017-06-05T13:59:43+02:00,2017-06-05T14:14:29+02:00,886
05/06/17,move,walking,2017-06-05T14:14:29+02:00,2017-06-05T14:23:35+02:00,546
05/06/17,place,Place in Kastrup,2017-06-05T14:23:36+02:00,2017-06-05T14:57:11+02:00,2015
05/06/17,move,transport,2017-06-05T14:57:11+02:00,2017-06-05T15:18:48+02:00,1297
05/06/17,move,walking,2017-06-05T15:18:48+02:00,2017-06-05T15:22:45+02:00,237
05/06/17,place,"Place in Christianshavn, København",2017-06-05T15:22:46+02:00,2017-06-05T15:52:02+02:00,1756
05/06/17,move,cycling,2017-06-05T15:52:02+02:00,2017-06-05T16:04:22+02:00,740
05/06/17,place,"Place in Christianshavn, København",2017-06-05T16:04:23+02:00,2017-06-05T19:51:58+02:00,13655
05/06/17,move,cycling,2017-06-05T19:51:58+02:00,2017-06-05T20:04:44+02:00,766
05/06/17,place,"Place in Christianshavn, København",2017-06-05T20:04:45+02:00,2017-06-05T20:15:57+02:00,672
05/06/17,move,cycling,2017-06-05T20:15:57+02:00,2017-06-05T20:20:19+02:00,262
05/06/17,place,"Place in Christianshavn, København",2017-06-05T20:20:20+02:00,2017-06-06T00:00:00+02:00,13180
06/06/17,place,"Place in Christianshavn, København",2017-06-06T00:00:00+02:00,2017-06-06T07:57:20+02:00,28640
06/06/17,move,cycling,2017-06-06T07:57:20+02:00,2017-06-06T08:06:35+02:00,555
06/06/17,place,"Place in Østerport, København",2017-06-06T08:06:35+02:00,2017-06-06T12:17:46+02:00,15071
06/06/17,move,walking,2017-06-06T12:17:46+02:00,2017-06-06T12:22:59+02:00,313
06/06/17,place,"Place in Indre By, København",2017-06-06T12:23:00+02:00,2017-06-06T12:47:31+02:00,1471
06/06/17,move,walking,2017-06-06T12:47:31+02:00,2017-06-06T12:55:39+02:00,488
06/06/17,place,"Place in Østerport, København",2017-06-06T12:55:40+02:00,2017-06-06T16:30:12+02:00,12872
06/06/17,place,"Place in Indre By, København",2017-06-06T16:48:02+02:00,2017-06-06T18:12:19+02:00,5057
06/06/17,move,transport,2017-06-06T18:12:19+02:00,2017-06-06T18:28:06+02:00,947
06/06/17,place,"Place in Christianshavn, København",2017-06-06T18:28:07+02:00,2017-06-07T00:00:00+02:00,19913
07/06/17,place,"Place in Christianshavn, København",2017-06-07T00:00:00+02:00,2017-06-07T06:42:02+02:00,24122
07/06/17,move,transport,2017-06-07T06:42:02+02:00,2017-06-07T06:58:42+02:00,1000
07/06/17,place,"Place in Indre By, København",2017-06-07T06:58:42+02:00,2017-06-07T08:24:03+02:00,5121
07/06/17,place,"Place in Østerport, København",2017-06-07T08:24:04+02:00,2017-06-07T12:20:31+02:00,14187
07/06/17,place,"Place in Østerport, København",2017-06-07T12:20:32+02:00,2017-06-07T12:49:34+02:00,1742
07/06/17,move,walking,2017-06-07T12:49:34+02:00,2017-06-07T12:53:10+02:00,216
07/06/17,place,"Place in Østerport, København",2017-06-07T12:53:11+02:00,2017-06-07T16:29:04+02:00,12953
07/06/17,move,transport,2017-06-07T16:29:04+02:00,2017-06-07T16:38:04+02:00,540
07/06/17,place,"Place in Christianshavn, København",2017-06-07T16:38:04+02:00,2017-06-08T00:00:00+02:00,26516
08/06/17,place,"Place in Christianshavn, København",2017-06-08T00:00:00+02:00,2017-06-08T07:53:04+02:00,28384
08/06/17,move,cycling,2017-06-08T07:53:04+02:00,2017-06-08T08:01:04+02:00,480
08/06/17,place,"Place in Østerport, København",2017-06-08T08:01:05+02:00,2017-06-08T12:29:58+02:00,16133
08/06/17,move,walking,2017-06-08T12:29:58+02:00,2017-06-08T12:38:51+02:00,533
08/06/17,place,"Place in Indre By, København",2017-06-08T12:38:51+02:00,2017-06-08T13:38:41+02:00,3590
08/06/17,move,walking,2017-06-08T13:38:41+02:00,2017-06-08T13:41:40+02:00,179
08/06/17,place,"Place in Indre By, København",2017-06-08T13:41:41+02:00,2017-06-08T13:42:46+02:00,65
08/06/17,move,walking,2017-06-08T13:42:46+02:00,2017-06-08T13:44:22+02:00,96
08/06/17,place,"Place in Østerport, København",2017-06-08T13:49:25+02:00,2017-06-08T16:46:35+02:00,10630
08/06/17,move,transport,2017-06-08T16:46:35+02:00,2017-06-08T16:55:41+02:00,546
08/06/17,place,"Place in Christianshavn, København",2017-06-08T16:55:41+02:00,2017-06-08T17:44:00+02:00,2899
08/06/17,move,transport,2017-06-08T17:44:00+02:00,2017-06-08T18:00:20+02:00,980
08/06/17,place,"Place in Amagerbro Station, København",2017-06-08T18:00:20+02:00,2017-06-08T19:40:41+02:00,6021
08/06/17,move,cycling,2017-06-08T19:40:41+02:00,2017-06-08T19:47:48+02:00,427
08/06/17,place,"Place in Christianshavn, København",2017-06-08T19:47:48+02:00,2017-06-08T20:01:37+02:00,829
08/06/17,place,"Place in Christianshavn, København",2017-06-08T20:01:37+02:00,2017-06-09T00:00:00+02:00,14303
09/06/17,place,"Place in Christianshavn, København",2017-06-09T00:00:00+02:00,2017-06-09T08:07:23+02:00,29243
09/06/17,move,cycling,2017-06-09T08:07:23+02:00,2017-06-09T08:15:46+02:00,503
09/06/17,place,"Place in Østerport, København",2017-06-09T08:15:47+02:00,2017-06-09T12:16:18+02:00,14431
