Date,Type,Name,Start,End,Duration
22/05/17,place,"Place in Christianshavn, København",2017-05-22T00:00:00+02:00,2017-05-22T08:03:38+02:00,29018
22/05/17,move,cycling,2017-05-22T08:03:38+02:00,2017-05-22T08:13:05+02:00,567
22/05/17,place,"Place in Østerport, København",2017-05-22T08:13:06+02:00,2017-05-22T11:48:53+02:00,12947
22/05/17,move,walking,2017-05-22T11:48:53+02:00,2017-05-22T11:57:25+02:00,512
22/05/17,place,"Place in Indre By, København",2017-05-22T11:57:26+02:00,2017-05-22T12:17:11+02:00,1185
22/05/17,move,walking,2017-05-22T12:17:11+02:00,2017-05-22T12:25:47+02:00,516
22/05/17,place,"Place in Østerport, København",2017-05-22T12:25:48+02:00,2017-05-22T17:16:51+02:00,17463
22/05/17,move,walking,2017-05-22T17:16:51+02:00,2017-05-22T17:20:18+02:00,207
22/05/17,move,cycling,2017-05-22T17:20:18+02:00,2017-05-22T17:28:27+02:00,489
22/05/17,place,"Place in Christianshavn, København",2017-05-22T17:28:28+02:00,2017-05-23T00:00:00+02:00,23492
23/05/17,place,"Place in Christianshavn, København",2017-05-23T00:00:00+02:00,2017-05-23T08:15:40+02:00,29740
23/05/17,move,walking,2017-05-23T08:15:40+02:00,2017-05-23T08:16:00+02:00,20
23/05/17,move,cycling,2017-05-23T08:16:00+02:00,2017-05-23T08:24:08+02:00,488
23/05/17,place,"Place in Østerport, København",2017-05-23T08:24:09+02:00,2017-05-23T12:10:01+02:00,13552
23/05/17,move,walking,2017-05-23T12:10:01+02:00,2017-05-23T12:12:52+02:00,171
23/05/17,place,"Place in Indre By, København",2017-05-23T12:12:53+02:00,2017-05-23T12:38:52+02:00,1559
23/05/17,move,walking,2017-05-23T12:38:52+02:00,2017-05-23T12:49:24+02:00,632
23/05/17,place,"Place in Østerport, København",2017-05-23T12:49:25+02:00,2017-05-23T16:15:45+02:00,12380
23/05/17,move,transport,2017-05-23T16:15:45+02:00,2017-05-23T16:23:03+02:00,438
23/05/17,place,"Place in Christianshavn, København",2017-05-23T16:23:04+02:00,2017-05-23T16:49:27+02:00,1583
23/05/17,move,cycling,2017-05-23T16:49:27+02:00,2017-05-23T16:59:27+02:00,600
23/05/17,place,"Place in Amagerbro Station, København",2017-05-23T16:59:28+02:00,2017-05-23T17:13:38+02:00,850
23/05/17,move,walking,2017-05-23T17:13:38+02:00,2017-05-23T17:17:01+02:00,203
23/05/17,place,Place in Copenhagen,2017-05-23T17:17:02+02:00,2017-05-23T17:20:21+02:00,199
23/05/17,move,walking,2017-05-23T17:20:21+02:00,2017-05-23T17:24:16+02:00,235
23/05/17,place,"Place in Amagerbro Station, København",2017-05-23T17:24:17+02:00,2017-05-23T18:42:22+02:00,4685
23/05/17,move,cycling,2017-05-23T18:42:22+02:00,2017-05-23T18:51:51+02:00,569
23/05/17,place,"Place in Christianshavn, København",2017-05-23T18:51:52+02:00,2017-05-23T19:36:46+02:00,2694
23/05/17,move,cycling,2017-05-23T19:36:46+02:00,2017-05-23T19:44:17+02:00,451
23/05/17,place,"Place in Indre By, København",2017-05-23T19:44:18+02:00,2017-05-23T19:53:52+02:00,574
23/05/17,move,cycling,2017-05-23T19:53:52+02:00,2017-05-23T20:22:24+02:00,1712
23/05/17,place,"Place in Nørrebro, København",2017-05-23T20:22:25+02:00,2017-05-23T20:44:05+02:00,1300
23/05/17,move,walking,2017-05-23T20:44:05+02:00,2017-05-23T21:00:10+02:00,965
23/05/17,place,"Place in Nørrebro, København",2017-05-23T21:00:11+02:00,2017-05-23T23:53:17+02:00,10386
23/05/17,move,cycling,2017-05-23T23:53:17+02:00,2017-05-23T23:59:59+02:00,402
24/05/17,move,cycling,2017-05-24T00:00:00+02:00,2017-05-24T00:18:27+02:00,1107
24/05/17,place,"Place in Christianshavn, København",2017-05-24T00:18:28+02:00,2017-05-24T08:21:49+02:00,29001
24/05/17,move,cycling,2017-05-24T08:21:49+02:00,2017-05-24T08:31:12+02:00,563
24/05/17,place,"Place in Østerport, København",2017-05-24T08:31:13+02:00,2017-05-24T12:23:07+02:00,13914
24/05/17,move,walking,2017-05-24T12:23:07+02:00,2017-05-24T12:29:51+02:00,404
24/05/17,place,"Place in Indre By, København",2017-05-24T12:29:52+02:00,2017-05-24T12:47:57+02:00,1085
24/05/17,place,"Place in Østerport, København",2017-05-24T12:47:58+02:00,2017-05-24T12:59:20+02:00,682
24/05/17,place,"Place in Østerport, København",2017-05-24T12:59:21+02:00,2017-05-24T17:04:03+02:00,14682
24/05/17,move,walking,2017-05-24T17:04:03+02:00,2017-05-24T17:07:49+02:00,226
24/05/17,move,transport,2017-05-24T17:07:49+02:00,2017-05-24T17:17:18+02:00,569
24/05/17,place,"Place in Christianshavn, København",2017-05-24T17:17:19+02:00,2017-05-24T18:46:33+02:00,5354
24/05/17,move,transport,2017-05-24T18:46:33+02:00,2017-05-24T18:49:17+02:00,164
24/05/17,move,cycling,2017-05-24T18:49:17+02:00,2017-05-24T18:52:04+02:00,167
24/05/17,move,transport,2017-05-24T18:52:04+02:00,2017-05-24T18:59:27+02:00,443
24/05/17,move,cycling,2017-05-24T18:59:28+02:00,2017-05-24T19:04:22+02:00,294
24/05/17,place,"Place in Vesterbro, København",2017-05-24T19:04:22+02:00,2017-05-24T19:25:43+02:00,1281
24/05/17,move,transport,2017-05-24T19:25:43+02:00,2017-05-24T19:41:15+02:00,932
24/05/17,place,"Place in Christianshavn, København",2017-05-24T19:41:16+02:00,2017-05-25T00:00:00+02:00,15524
25/05/17,place,"Place in Christianshavn, København",2017-05-25T00:00:00+02:00,2017-05-25T14:16:04+02:00,51364
25/05/17,move,cycling,2017-05-25T14:16:04+02:00,2017-05-25T14:23:56+02:00,472
