Date,Activity,Group,Duration,Distance,Steps,Calories
03/04/17,walking,walking,2795,2.498,4208,157
03/04/17,cycling,cycling,1433,4.054,0,120
03/04/17,running,running,2735,7.201,6200,551
04/04/17,walking,walking,570,0.463,928,29
04/04/17,cycling,cycling,3299,10.462,0,305
05/04/17,walking,walking,2090,2.593,3250,163
05/04/17,cycling,cycling,238,0.212,0,8
05/04/17,transport,transport,4267,31.464,0,0
06/04/17,cycling,cycling,409,1.926,0,54
06/04/17,walking,walking,1229,1.026,1766,65
06/04/17,transport,transport,827,2.478,0,0
06/04/17,running,running,3276,7.650,8087,591
07/04/17,cycling,cycling,1144,4.027,0,116
07/04/17,walking,walking,1573,1.581,2375,100
07/04/17,transport,transport,1248,1.574,0,0
07/04/17,running,running,2798,7.128,7112,547
08/04/17,transport,transport,1801,6.241,0,0
08/04/17,walking,walking,948,0.950,1436,60
08/04/17,cycling,cycling,772,3.160,0,90
09/04/17,walking,walking,1356,1.253,1967,79
09/04/17,cycling,cycling,3165,10.187,0,296
09/04/17,transport,transport,507,1.458,0,0
