Date,Activity,Group,Duration,Distance,Steps,Calories
29/05/17,walking,walking,1841,2.006,2954,126
29/05/17,cycling,cycling,880,3.360,0,96
30/05/17,walking,walking,1917,2.185,3039,138
30/05/17,cycling,cycling,763,2.768,0,79
30/05/17,transport,transport,401,0.841,0,0
31/05/17,walking,walking,4634,4.546,6722,286
31/05/17,cycling,cycling,433,1.720,0,49
31/05/17,transport,transport,2656,7.476,0,0
01/06/17,walking,walking,11440,11.938,18198,752
01/06/17,transport,transport,2978,15.860,0,0
02/06/17,walking,walking,17841,18.450,26164,1162
02/06/17,transport,transport,959,4.066,0,0
03/06/17,walking,walking,11380,11.261,17307,709
03/06/17,transport,transport,2977,4.904,0,0
04/06/17,walking,walking,12945,13.013,18956,820
04/06/17,transport,transport,3224,9.012,0,0
