Date,Activity,Group,Duration,Distance,Steps,Calories
31/07/17,walking,walking,49,0.029,50,2
31/07/17,cycling,cycling,26814,125.216,0,3515
01/08/17,cycling,cycling,29071,121.368,0,3439
02/08/17,walking,walking,7251,9.400,10827,592
02/08/17,transport,transport,9866,720.706,0,0
03/08/17,transport,transport,16510,130.140,0,0
03/08/17,walking,walking,2900,2.372,3733,149
04/08/17,walking,walking,97,0.070,140,4
05/08/17,walking,walking,2091,2.109,3022,133
05/08/17,transport,transport,9248,87.656,0,0
06/08/17,walking,walking,2101,1.870,2740,118
06/08/17,transport,transport,12471,282.648,0,0
