Date,Activity,Group,Duration,Distance,Steps,Calories
24/04/17,walking,walking,477,0.333,651,21
24/04/17,transport,transport,5976,38.296,0,0
25/04/17,walking,walking,1445,1.134,1902,71
25/04/17,transport,transport,7204,53.759,0,0
26/04/17,transport,transport,23937,337.995,0,0
26/04/17,walking,walking,5722,5.828,8700,367
27/04/17,walking,walking,4690,5.239,7407,330
27/04/17,transport,transport,4193,27.960,0,0
28/04/17,walking,walking,279,0.196,385,12
28/04/17,transport,transport,4386,48.317,0,0
28/04/17,running,running,386,0.747,998,59
29/04/17,walking,walking,2180,2.365,3418,149
29/04/17,transport,transport,11622,139.259,0,0
29/04/17,cycling,cycling,269,0.807,0,24
30/04/17,walking,walking,3645,3.622,5806,228
30/04/17,transport,transport,12503,108.160,0,0
