Date,Activity,Group,Duration,Distance,Steps,Calories
07/08/17,walking,walking,1047,0.863,1490,54
07/08/17,transport,transport,4359,43.935,0,0
08/08/17,transport,transport,18321,307.823,0,0
08/08/17,walking,walking,941,0.689,1221,43
09/08/17,walking,walking,1050,1.014,1442,64
09/08/17,transport,transport,1951,8.812,0,0
10/08/17,walking,walking,7938,7.344,12062,463
10/08/17,transport,transport,15015,1275.010,0,0
11/08/17,walking,walking,11040,10.474,15186,660
11/08/17,transport,transport,1078,2.401,0,0
12/08/17,walking,walking,5344,6.103,8027,384
13/08/17,walking,walking,5710,6.306,8237,397
