Date,Activity,Group,Duration,Distance,Steps,Calories
14/08/17,walking,walking,3538,3.609,5036,227
15/08/17,walking,walking,4453,5.278,6874,332
16/08/17,walking,walking,4376,4.398,6099,277
16/08/17,transport,transport,289,0.521,0,0
17/08/17,walking,walking,3855,4.151,5554,261
18/08/17,walking,walking,2759,3.518,4798,222
18/08/17,transport,transport,15296,1266.981,0,0
19/08/17,walking,walking,2234,1.921,3058,121
19/08/17,transport,transport,7637,80.458,0,0
20/08/17,walking,walking,1826,1.522,2516,96
20/08/17,transport,transport,14539,2279.481,0,0
