Date,Activity,Group,Duration,Distance,Steps,Calories
19/06/17,walking,walking,3521,3.647,5341,230
19/06/17,cycling,cycling,1602,5.839,0,168
19/06/17,transport,transport,878,1.886,0,0
20/06/17,cycling,cycling,913,3.076,0,89
20/06/17,walking,walking,2016,1.743,3125,110
20/06/17,transport,transport,434,0.591,0,0
21/06/17,walking,walking,2399,2.675,3844,168
21/06/17,cycling,cycling,863,3.702,0,105
21/06/17,transport,transport,118,0.535,0,0
22/06/17,walking,walking,1982,2.092,3043,132
22/06/17,cycling,cycling,1854,6.038,0,175
22/06/17,transport,transport,901,2.378,0,0
23/06/17,walking,walking,4466,5.275,6719,332
23/06/17,transport,transport,1138,3.481,0,0
23/06/17,cycling,cycling,3087,10.912,0,314
24/06/17,walking,walking,7900,11.676,13027,735
24/06/17,transport,transport,574,0.658,0,0
25/06/17,walking,walking,4166,4.230,7085,266
25/06/17,transport,transport,484,1.353,0,0
