Date,Activity,Group,Duration,Distance,Steps,Calories
10/07/17,walking,walking,219,0.201,276,13
10/07/17,cycling,cycling,22762,120.054,0,3339
11/07/17,walking,walking,1645,1.554,2670,98
11/07/17,cycling,cycling,13027,69.906,0,1942
12/07/17,walking,walking,218,0.240,292,15
12/07/17,cycling,cycling,21665,87.636,0,2490
13/07/17,walking,walking,93,0.064,120,4
13/07/17,cycling,cycling,25757,109.449,0,3096
14/07/17,cycling,cycling,23943,117.369,0,3282
15/07/17,walking,walking,19,0.015,30,1
15/07/17,cycling,cycling,21524,99.725,0,2801
16/07/17,cycling,cycling,21912,111.022,0,3097
16/07/17,walking,walking,125,0.095,190,6
