Date,Activity,Group,Duration,Distance,Steps,Calories
10/04/17,walking,walking,3907,4.395,6400,277
10/04/17,cycling,cycling,1034,3.760,0,108
11/04/17,cycling,cycling,1160,3.895,0,113
11/04/17,walking,walking,3856,4.683,6824,295
11/04/17,running,running,3167,8.015,7549,615
11/04/17,transport,transport,2408,11.686,0,0
12/04/17,walking,walking,4660,5.090,8205,321
12/04/17,cycling,cycling,626,2.265,0,65
12/04/17,transport,transport,576,1.759,0,0
13/04/17,walking,walking,373,0.384,561,24
13/04/17,cycling,cycling,1130,4.445,0,127
13/04/17,transport,transport,2759,6.212,0,0
14/04/17,walking,walking,2515,2.650,4157,167
14/04/17,cycling,cycling,2379,9.623,0,273
15/04/17,walking,walking,10383,11.649,16822,734
15/04/17,transport,transport,17037,2558.342,0,0
16/04/17,walking,walking,9056,11.369,15062,716
