Date,Activity,Group,Duration,Distance,Steps,Calories
21/08/17,walking,walking,4242,4.558,6207,287
21/08/17,cycling,cycling,1265,4.942,0,141
21/08/17,transport,transport,494,0.853,0,0
22/08/17,walking,walking,2180,2.363,3563,149
22/08/17,cycling,cycling,2089,7.552,0,217
22/08/17,transport,transport,1045,3.082,0,0
23/08/17,walking,walking,1048,1.159,1736,73
23/08/17,cycling,cycling,1668,5.675,0,164
23/08/17,transport,transport,1583,2.157,0,0
24/08/17,walking,walking,4293,4.317,6390,272
24/08/17,cycling,cycling,840,2.515,0,74
24/08/17,transport,transport,293,1.315,0,0
25/08/17,walking,walking,1909,1.813,2495,114
25/08/17,cycling,cycling,1064,3.381,0,98
25/08/17,transport,transport,402,0.352,0,0
27/08/17,walking,walking,354,0.347,532,22
27/08/17,cycling,cycling,1984,9.155,0,257
27/08/17,transport,transport,509,0.700,0,0
