Date,Activity,Group,Duration,Distance,Steps,Calories
14/05/17,cycling,cycling,6511,32.886,0,917
14/05/17,walking,walking,320,0.241,483,15
15/05/17,cycling,cycling,711,2.572,0,74
15/05/17,walking,walking,1027,0.989,1499,62
16/05/17,cycling,cycling,5506,32.511,0,897
16/05/17,walking,walking,897,0.918,1358,58
16/05/17,transport,transport,179,0.535,0,0
17/05/17,cycling,cycling,5896,33.343,0,923
17/05/17,walking,walking,740,0.638,1154,40
18/05/17,walking,walking,3040,3.355,4622,211
18/05/17,cycling,cycling,2275,12.772,0,354
18/05/17,transport,transport,1275,8.555,0,0
19/05/17,cycling,cycling,14045,85.235,0,2348
19/05/17,walking,walking,4201,5.199,6393,327
19/05/17,transport,transport,177,0.531,0,0
20/05/17,walking,walking,3918,4.567,5654,288
21/05/17,walking,walking,1046,1.061,1406,67
21/05/17,transport,transport,2006,6.045,0,0
21/05/17,cycling,cycling,6315,32.756,0,912
22/05/17,walking,walking,1772,1.992,2776,125
22/05/17,cycling,cycling,1056,3.472,0,101
23/05/17,walking,walking,3347,3.360,5334,212
23/05/17,cycling,cycling,4222,17.802,0,504
23/05/17,transport,transport,438,1.788,0,0
23/05/17,running,running,84,0.089,127,7
24/05/17,cycling,cycling,2131,7.001,0,203
24/05/17,walking,walking,1687,1.834,2753,116
24/05/17,transport,transport,2108,7.853,0,0
25/05/17,walking,walking,1830,1.716,2581,108
25/05/17,cycling,cycling,472,1.675,0,48
25/05/17,transport,transport,2198,5.944,0,0
26/05/17,cycling,cycling,1154,3.999,0,115
26/05/17,walking,walking,2668,2.794,4293,176
26/05/17,transport,transport,592,1.692,0,0
27/05/17,walking,walking,10213,11.935,15455,752
27/05/17,cycling,cycling,1175,2.836,0,86
28/05/17,walking,walking,2478,2.629,3939,166
28/05/17,cycling,cycling,1096,3.984,0,114
29/05/17,walking,walking,1841,2.006,2954,126
29/05/17,cycling,cycling,880,3.360,0,96
30/05/17,walking,walking,1917,2.185,3039,138
30/05/17,cycling,cycling,763,2.768,0,79
30/05/17,transport,transport,401,0.841,0,0
31/05/17,walking,walking,4634,4.546,6722,286
31/05/17,cycling,cycling,433,1.720,0,49
31/05/17,transport,transport,2656,7.476,0,0
01/06/17,walking,walking,11440,11.938,18198,752
01/06/17,transport,transport,2978,15.860,0,0
02/06/17,walking,walking,17841,18.450,26164,1162
02/06/17,transport,transport,959,4.066,0,0
03/06/17,walking,walking,11380,11.261,17307,709
03/06/17,transport,transport,2977,4.904,0,0
04/06/17,walking,walking,12945,13.013,18956,820
04/06/17,transport,transport,3224,9.012,0,0
05/06/17,walking,walking,6564,6.952,10055,438
05/06/17,transport,transport,3856,18.565,0,0
05/06/17,cycling,cycling,1768,5.187,0,152
06/06/17,walking,walking,1544,1.703,2377,107
06/06/17,cycling,cycling,555,2.037,0,58
06/06/17,transport,transport,947,1.090,0,0
07/06/17,transport,transport,1540,4.074,0,0
07/06/17,walking,walking,954,1.036,1502,65
08/06/17,walking,walking,1724,1.591,2808,100
08/06/17,cycling,cycling,907,4.405,0,123
08/06/17,transport,transport,1526,4.252,0,0
09/06/17,walking,walking,2303,2.483,3506,156
09/06/17,cycling,cycling,603,1.908,0,56
09/06/17,transport,transport,5489,13.995,0,0
10/06/17,walking,walking,2953,3.107,4329,196
10/06/17,transport,transport,3617,9.243,0,0
10/06/17,cycling,cycling,6135,22.003,0,633
11/06/17,walking,walking,2553,3.024,4393,190
11/06/17,cycling,cycling,20331,135.929,0,3723
11/06/17,transport,transport,3108,32.465,0,0
12/06/17,walking,walking,2019,2.148,3205,135
12/06/17,cycling,cycling,1114,4.250,0,121
12/06/17,transport,transport,523,1.737,0,0
13/06/17,walking,walking,3873,4.346,6117,274
13/06/17,cycling,cycling,459,1.940,0,55
13/06/17,transport,transport,3263,16.349,0,0
14/06/17,cycling,cycling,1182,4.158,0,120
14/06/17,walking,walking,2802,2.360,3911,149
14/06/17,transport,transport,17454,2536.338,0,0
15/06/17,walking,walking,2117,2.025,3217,128
15/06/17,transport,transport,7362,76.632,0,0
16/06/17,walking,walking,1587,1.401,2337,88
16/06/17,transport,transport,10789,86.161,0,0
17/06/17,walking,walking,3594,3.610,5495,227
17/06/17,transport,transport,19479,156.380,0,0
18/06/17,walking,walking,2132,2.039,3048,128
18/06/17,transport,transport,19016,2569.615,0,0
19/06/17,walking,walking,3521,3.647,5341,230
19/06/17,cycling,cycling,1602,5.839,0,168
19/06/17,transport,transport,878,1.886,0,0
20/06/17,cycling,cycling,913,3.076,0,89
20/06/17,walking,walking,2016,1.743,3125,110
20/06/17,transport,transport,434,0.591,0,0
21/06/17,walking,walking,2399,2.675,3844,168
21/06/17,cycling,cycling,863,3.702,0,105
21/06/17,transport,transport,118,0.535,0,0
22/06/17,walking,walking,1982,2.092,3043,132
22/06/17,cycling,cycling,1854,6.038,0,175
22/06/17,transport,transport,901,2.378,0,0
23/06/17,walking,walking,4466,5.275,6719,332
23/06/17,transport,transport,1138,3.481,0,0
23/06/17,cycling,cycling,3087,10.912,0,314
24/06/17,walking,walking,7900,11.676,13027,735
24/06/17,transport,transport,574,0.658,0,0
25/06/17,walking,walking,4166,4.230,7085,266
25/06/17,transport,transport,484,1.353,0,0
26/06/17,walking,walking,1860,2.128,3019,134
26/06/17,transport,transport,1373,4.695,0,0
26/06/17,cycling,cycling,284,0.847,0,25
27/06/17,walking,walking,2407,2.216,3583,140
27/06/17,cycling,cycling,675,2.475,0,71
27/06/17,transport,transport,668,1.952,0,0
28/06/17,walking,walking,1610,1.668,2277,105
28/06/17,cycling,cycling,1144,3.819,0,111
29/06/17,cycling,cycling,780,2.912,0,83
29/06/17,walking,walking,1309,1.229,1911,77
29/06/17,transport,transport,365,0.762,0,0
30/06/17,walking,walking,1111,1.108,1680,70
30/06/17,cycling,cycling,2876,12.835,0,362
02/07/17,walking,walking,3854,4.682,6038,295
02/07/17,transport,transport,1640,16.135,0,0
02/07/17,cycling,cycling,6172,26.653,0,753
03/07/17,walking,walking,5681,5.976,8477,376
03/07/17,cycling,cycling,2617,10.146,0,289
03/07/17,transport,transport,1359,2.689,0,0
04/07/17,walking,walking,1178,0.991,1611,62
04/07/17,cycling,cycling,559,2.231,0,63
04/07/17,transport,transport,8869,747.420,0,0
05/07/17,transport,transport,1680,248.965,0,0
05/07/17,walking,walking,367,0.255,506,16
05/07/17,cycling,cycling,17898,73.617,0,2089
06/07/17,cycling,cycling,21100,125.841,0,3471
07/07/17,walking,walking,62,0.040,80,3
07/07/17,cycling,cycling,23986,138.479,0,3827
08/07/17,walking,walking,115,0.079,150,5
08/07/17,cycling,cycling,22708,136.213,0,3755
08/07/17,transport,transport,212,0.739,0,0
09/07/17,walking,walking,201,0.153,307,10
09/07/17,cycling,cycling,26973,154.117,0,4263
10/07/17,walking,walking,219,0.201,276,13
10/07/17,cycling,cycling,22762,120.054,0,3339
11/07/17,walking,walking,1645,1.554,2670,98
11/07/17,cycling,cycling,13027,69.906,0,1942
12/07/17,walking,walking,218,0.240,292,15
12/07/17,cycling,cycling,21665,87.636,0,2490
13/07/17,walking,walking,93,0.064,120,4
13/07/17,cycling,cycling,25757,109.449,0,3096
14/07/17,cycling,cycling,23943,117.369,0,3282
15/07/17,walking,walking,19,0.015,30,1
15/07/17,cycling,cycling,21524,99.725,0,2801
16/07/17,cycling,cycling,21912,111.022,0,3097
16/07/17,walking,walking,125,0.095,190,6
17/07/17,cycling,cycling,25498,137.059,0,3807
17/07/17,walking,walking,20,0.015,30,1
18/07/17,walking,walking,187,0.128,247,8
18/07/17,cycling,cycling,18664,94.736,0,2642
19/07/17,walking,walking,3554,3.688,5039,232
19/07/17,cycling,cycling,18105,101.362,0,2807
20/07/17,walking,walking,33,0.025,50,2
20/07/17,cycling,cycling,28368,156.583,0,4341
21/07/17,cycling,cycling,22234,96.493,0,2725
21/07/17,walking,walking,57,0.043,86,3
