day,date,lat,lon,state
0,05/07/2017,59.33,24.63,0
1,05/07/2017,58.95,24.33,1
2,06/07/2017,58.31,24.55,1
3,07/07/2017,57.87,24.68,1
4,08/07/2017,56.54,24.75,1
5,09/07/2017,56.54,24.75,2
