Date,Type,Name,Start,End,Duration
03/08/17,move,transport,2017-08-03T18:48:37+02:00,2017-08-03T19:12:30+02:00,1433
03/08/17,place,Place in Amaroúsion,2017-08-03T19:12:31+02:00,2017-08-03T22:31:05+02:00,11914
03/08/17,move,transport,2017-08-03T22:31:05+02:00,2017-08-03T22:50:56+02:00,1191
04/08/17,place,Place in Kifisiá,2017-08-04T12:55:25+02:00,2017-08-05T00:00:00+02:00,39875
05/08/17,place,Place in Kifisiá,2017-08-05T00:00:00+02:00,2017-08-05T11:20:01+02:00,40801
05/08/17,move,transport,2017-08-05T11:20:01+02:00,2017-08-05T12:02:32+02:00,2551
05/08/17,place,Place in Néa Mákri,2017-08-05T12:02:33+02:00,2017-08-05T13:35:24+02:00,5571
05/08/17,move,walking,2017-08-05T13:35:24+02:00,2017-08-05T13:38:01+02:00,157
05/08/17,move,transport,2017-08-05T13:38:01+02:00,2017-08-05T14:00:21+02:00,1340
05/08/17,place,Place in Spáta,2017-08-05T14:00:22+02:00,2017-08-05T14:03:16+02:00,174
05/08/17,move,walking,2017-08-05T14:03:16+02:00,2017-08-05T14:10:15+02:00,419
05/08/17,place,Place in Spáta,2017-08-05T14:10:15+02:00,2017-08-05T14:12:15+02:00,120
05/08/17,move,walking,2017-08-05T14:12:15+02:00,2017-08-05T14:18:45+02:00,390
05/08/17,place,Place in Spáta,2017-08-05T14:18:45+02:00,2017-08-05T14:31:25+02:00,760
05/08/17,move,transport,2017-08-05T14:31:25+02:00,2017-08-05T15:02:46+02:00,1881
05/08/17,move,walking,2017-08-05T15:02:46+02:00,2017-08-05T15:06:29+02:00,223
05/08/17,place,Place in Khalándrion,2017-08-05T15:06:30+02:00,2017-08-05T15:22:35+02:00,965
05/08/17,move,walking,2017-08-05T15:22:35+02:00,2017-08-05T15:26:31+02:00,236
05/08/17,move,transport,2017-08-05T15:26:32+02:00,2017-08-05T15:50:27+02:00,1435
05/08/17,place,Place in Kifisiá,2017-08-05T15:50:28+02:00,2017-08-05T21:38:18+02:00,20870
05/08/17,move,transport,2017-08-05T21:38:18+02:00,2017-08-05T22:12:19+02:00,2041
05/08/17,place,Place in Athens,2017-08-05T22:12:20+02:00,2017-08-05T22:22:14+02:00,594
05/08/17,place,"Place in Ψυρή, Athens",2017-08-05T22:25:17+02:00,2017-08-06T00:00:00+02:00,5683
06/08/17,place,"Place in Ψυρή, Athens",2017-08-06T00:00:00+02:00,2017-08-06T00:51:51+02:00,3111
06/08/17,move,transport,2017-08-06T00:51:51+02:00,2017-08-06T01:17:33+02:00,1542
06/08/17,place,Place in Kifisiá,2017-08-06T01:17:34+02:00,2017-08-06T10:43:22+02:00,33948
06/08/17,move,transport,2017-08-06T10:43:22+02:00,2017-08-06T13:21:21+02:00,9479
06/08/17,place,Place in Mistrás,2017-08-06T13:21:21+02:00,2017-08-06T17:57:12+02:00,16551
06/08/17,move,walking,2017-08-06T17:57:12+02:00,2017-08-06T18:00:02+02:00,170
06/08/17,place,Place in Mistrás,2017-08-06T18:00:02+02:00,2017-08-06T18:53:46+02:00,3224
06/08/17,move,walking,2017-08-06T18:53:46+02:00,2017-08-06T18:57:31+02:00,225
06/08/17,place,Place in Mistrás,2017-08-06T18:57:32+02:00,2017-08-06T21:37:25+02:00,9593
06/08/17,move,transport,2017-08-06T21:37:26+02:00,2017-08-06T22:01:36+02:00,1450
06/08/17,move,walking,2017-08-06T22:01:36+02:00,2017-08-06T22:04:29+02:00,173
06/08/17,place,Place in Sparta,2017-08-06T22:04:30+02:00,2017-08-07T00:00:00+02:00,6930
07/08/17,place,Place in Sparta,2017-08-07T00:00:00+02:00,2017-08-07T01:20:11+02:00,4811
07/08/17,place,Place in Sparta,2017-08-07T01:20:12+02:00,2017-08-07T01:29:18+02:00,546
07/08/17,move,transport,2017-08-07T01:29:18+02:00,2017-08-07T01:44:44+02:00,926
07/08/17,place,Place in Mistrás,2017-08-07T01:44:45+02:00,2017-08-07T10:37:50+02:00,31985
07/08/17,move,transport,2017-08-07T10:37:50+02:00,2017-08-07T10:58:17+02:00,1227
07/08/17,place,Place in Sparta,2017-08-07T10:58:18+02:00,2017-08-07T11:31:58+02:00,2020
07/08/17,move,transport,2017-08-07T11:31:58+02:00,2017-08-07T11:36:14+02:00,256
07/08/17,place,Place in Sparta,2017-08-07T11:36:15+02:00,2017-08-07T14:16:00+02:00,9585
07/08/17,place,Place in Sparta,2017-08-07T14:16:01+02:00,2017-08-07T14:25:26+02:00,565
07/08/17,move,transport,2017-08-07T14:25:26+02:00,2017-08-07T14:43:51+02:00,1105
07/08/17,place,Place in Mistrás,2017-08-07T14:43:52+02:00,2017-08-07T23:33:10+02:00,31758
07/08/17,move,transport,2017-08-07T23:33:10+02:00,2017-08-07T23:47:15+02:00,845
07/08/17,move,walking,2017-08-07T23:47:15+02:00,2017-08-07T23:50:49+02:00,214
07/08/17,place,Place in Mistrás,2017-08-07T23:50:50+02:00,2017-08-08T00:00:00+02:00,550
08/08/17,place,Place in Mistrás,2017-08-08T00:00:00+02:00,2017-08-08T00:00:01+02:00,1
08/08/17,move,transport,2017-08-08T00:00:01+02:00,2017-08-08T00:26:38+02:00,1597
08/08/17,place,Place in Mistrás,2017-08-08T00:26:38+02:00,2017-08-08T11:44:02+02:00,40644
08/08/17,move,walking,2017-08-08T11:44:02+02:00,2017-08-08T11:49:13+02:00,311
08/08/17,place,Place in Mistrás,2017-08-08T11:49:14+02:00,2017-08-08T12:28:52+02:00,2378
08/08/17,move,transport,2017-08-08T12:28:52+02:00,2017-08-08T15:07:10+02:00,9498
08/08/17,place,Place in Moskháton,2017-08-08T15:07:11+02:00,2017-08-08T15:16:06+02:00,535
08/08/17,move,transport,2017-08-08T15:16:06+02:00,2017-08-08T16:25:24+02:00,4158
08/08/17,place,Place in Néa Mákri,2017-08-08T16:25:25+02:00,2017-08-08T19:14:05+02:00,10120
08/08/17,place,Place in Néa Mákri,2017-08-08T19:14:06+02:00,2017-08-08T19:25:45+02:00,699
08/08/17,place,Place in Néa Mákri,2017-08-08T19:30:02+02:00,2017-08-08T19:40:34+02:00,632
08/08/17,move,transport,2017-08-08T19:40:34+02:00,2017-08-08T19:51:42+02:00,668
08/08/17,place,Place in Néa Mákri,2017-08-08T19:51:43+02:00,2017-08-08T22:18:25+02:00,8802
08/08/17,move,transport,2017-08-08T22:18:25+02:00,2017-08-08T22:58:25+02:00,2400
08/08/17,place,Place in Kifisiá,2017-08-08T22:58:26+02:00,2017-08-09T00:00:00+02:00,3694
09/08/17,place,Place in Kifisiá,2017-08-09T00:00:00+02:00,2017-08-09T12:27:02+02:00,44822
09/08/17,move,transport,2017-08-09T12:27:02+02:00,2017-08-09T12:34:59+02:00,477
09/08/17,place,Place in Kifisiá,2017-08-09T12:39:28+02:00,2017-08-09T12:52:28+02:00,780
09/08/17,move,walking,2017-08-09T12:52:28+02:00,2017-08-09T12:56:18+02:00,230
09/08/17,move,transport,2017-08-09T12:56:18+02:00,2017-08-09T12:59:58+02:00,220
09/08/17,place,Place in Kifisiá,2017-08-09T12:59:59+02:00,2017-08-09T13:18:50+02:00,1131
09/08/17,move,transport,2017-08-09T13:18:50+02:00,2017-08-09T13:39:44+02:00,1254
09/08/17,place,Place in Kifisiá,2017-08-09T13:39:45+02:00,2017-08-10T00:00:00+02:00,37215
10/08/17,place,Place in Kifisiá,2017-08-10T00:00:00+02:00,2017-08-10T05:10:24+02:00,18624
10/08/17,move,walking,2017-08-10T05:10:24+02:00,2017-08-10T05:12:22+02:00,118
10/08/17,move,transport,2017-08-10T05:12:22+02:00,2017-08-10T05:50:52+02:00,2310
10/08/17,move,walking,2017-08-10T05:50:53+02:00,2017-08-10T05:54:08+02:00,195
10/08/17,place,Place in Spáta,2017-08-10T05:54:09+02:00,2017-08-10T06:03:01+02:00,532
10/08/17,move,walking,2017-08-10T06:03:01+02:00,2017-08-10T06:06:09+02:00,188
10/08/17,place,Place in Spáta,2017-08-10T06:06:09+02:00,2017-08-10T06:13:02+02:00,413
10/08/17,move,walking,2017-08-10T06:13:02+02:00,2017-08-10T06:17:11+02:00,249
10/08/17,place,Place in Spáta,2017-08-10T06:17:12+02:00,2017-08-10T06:36:02+02:00,1130
10/08/17,move,walking,2017-08-10T06:36:02+02:00,2017-08-10T06:44:25+02:00,503
10/08/17,place,Place in Spáta,2017-08-10T06:44:26+02:00,2017-08-10T07:04:28+02:00,1202
10/08/17,move,transport,2017-08-10T07:04:28+02:00,2017-08-10T07:15:15+02:00,647
10/08/17,place,Place in Spáta,2017-08-10T07:15:16+02:00,2017-08-10T07:27:45+02:00,749
10/08/17,move,transport,2017-08-10T07:27:46+02:00,2017-08-10T09:38:56+02:00,7870
10/08/17,place,Place in Belgrade,2017-08-10T09:38:57+02:00,2017-08-10T11:10:48+02:00,5511
10/08/17,place,Place in Belgrade,2017-08-10T11:10:48+02:00,2017-08-10T13:41:20+02:00,9032
10/08/17,move,transport,2017-08-10T13:41:20+02:00,2017-08-10T13:44:34+02:00,194
10/08/17,place,Place in Belgrade,2017-08-10T13:44:35+02:00,2017-08-10T14:07:31+02:00,1376
10/08/17,move,transport,2017-08-10T14:07:31+02:00,2017-08-10T14:50:12+02:00,2561
10/08/17,place,Place in Sarajevo,2017-08-10T14:50:13+02:00,2017-08-10T15:09:49+02:00,1176
10/08/17,move,walking,2017-08-10T15:09:49+02:00,2017-08-10T15:18:03+02:00,494
10/08/17,move,transport,2017-08-10T15:18:03+02:00,2017-08-10T15:41:56+02:00,1433
10/08/17,move,walking,2017-08-10T15:41:57+02:00,2017-08-10T15:45:13+02:00,196
10/08/17,place,Place in Sarajevo,2017-08-10T15:45:14+02:00,2017-08-10T15:56:34+02:00,680
10/08/17,move,walking,2017-08-10T15:56:34+02:00,2017-08-10T16:04:56+02:00,502
10/08/17,place,Place in Sarajevo,2017-08-10T16:04:57+02:00,2017-08-10T16:33:41+02:00,1724
10/08/17,place,Place in Sarajevo,2017-08-10T16:33:41+02:00,2017-08-10T16:49:36+02:00,955
10/08/17,move,walking,2017-08-10T16:49:36+02:00,2017-08-10T16:54:08+02:00,272
10/08/17,place,Place in Sarajevo,2017-08-10T16:54:09+02:00,2017-08-10T21:54:45+02:00,18036
10/08/17,move,walking,2017-08-10T21:54:45+02:00,2017-08-10T22:07:12+02:00,747
10/08/17,place,Place in Sarajevo,2017-08-10T22:07:12+02:00,2017-08-10T22:09:12+02:00,120
10/08/17,place,Place in Sarajevo,2017-08-10T22:11:47+02:00,2017-08-10T22:52:11+02:00,2424
10/08/17,move,walking,2017-08-10T22:52:11+02:00,2017-08-10T23:00:14+02:00,483
10/08/17,place,Place in Sarajevo,2017-08-10T23:00:15+02:00,2017-08-10T23:07:41+02:00,446
10/08/17,move,walking,2017-08-10T23:07:41+02:00,2017-08-10T23:23:23+02:00,942
10/08/17,place,Place in Sarajevo,2017-08-10T23:23:24+02:00,2017-08-10T23:26:23+02:00,179
10/08/17,move,walking,2017-08-10T23:26:23+02:00,2017-08-10T23:37:30+02:00,667
10/08/17,place,Place in Sarajevo,2017-08-10T23:37:31+02:00,2017-08-11T00:00:00+02:00,1349
11/08/17,place,Place in Sarajevo,2017-08-11T00:00:00+02:00,2017-08-11T09:52:43+02:00,35563
11/08/17,move,walking,2017-08-11T09:52:43+02:00,2017-08-11T09:59:42+02:00,419
11/08/17,place,Place in Sarajevo,2017-08-11T09:59:43+02:00,2017-08-11T10:18:43+02:00,1140
11/08/17,move,walking,2017-08-11T10:18:43+02:00,2017-08-11T10:25:27+02:00,404
11/08/17,place,Place in Sarajevo,2017-08-11T10:25:28+02:00,2017-08-11T10:39:03+02:00,815
11/08/17,move,walking,2017-08-11T10:39:03+02:00,2017-08-11T10:48:59+02:00,596
11/08/17,place,Place in Sarajevo,2017-08-11T10:48:59+02:00,2017-08-11T11:12:01+02:00,1382
11/08/17,move,walking,2017-08-11T11:12:01+02:00,2017-08-11T11:16:55+02:00,294
11/08/17,place,Place in Sarajevo,2017-08-11T11:16:56+02:00,2017-08-11T11:37:00+02:00,1204
11/08/17,move,walking,2017-08-11T11:37:00+02:00,2017-08-11T11:44:02+02:00,422
11/08/17,place,Place in Sarajevo,2017-08-11T11:44:02+02:00,2017-08-11T12:53:58+02:00,4196
11/08/17,place,Place in Sarajevo,2017-08-11T12:53:59+02:00,2017-08-11T13:08:00+02:00,841
11/08/17,move,walking,2017-08-11T13:08:00+02:00,2017-08-11T13:10:32+02:00,152
11/08/17,place,Place in Sarajevo,2017-08-11T13:10:32+02:00,2017-08-11T13:50:30+02:00,2398
11/08/17,move,walking,2017-08-11T13:50:30+02:00,2017-08-11T13:55:03+02:00,273
11/08/17,place,Place in Sarajevo,2017-08-11T13:55:04+02:00,2017-08-11T14:10:36+02:00,932
11/08/17,move,walking,2017-08-11T14:10:36+02:00,2017-08-11T14:16:23+02:00,347
11/08/17,place,Place in Sarajevo,2017-08-11T14:16:24+02:00,2017-08-11T14:24:40+02:00,496
11/08/17,place,Place in Sarajevo,2017-08-11T14:24:41+02:00,2017-08-11T14:55:12+02:00,1831
11/08/17,place,Place in Sarajevo,2017-08-11T14:55:13+02:00,2017-08-11T15:02:22+02:00,429
11/08/17,move,walking,2017-08-11T15:02:22+02:00,2017-08-11T15:09:00+02:00,398
11/08/17,place,Place in Sarajevo,2017-08-11T15:09:01+02:00,2017-08-11T15:14:49+02:00,348
11/08/17,move,walking,2017-08-11T15:14:49+02:00,2017-08-11T15:26:50+02:00,721
11/08/17,place,Place in Sarajevo,2017-08-11T15:26:51+02:00,2017-08-11T15:30:54+02:00,243
11/08/17,move,walking,2017-08-11T15:30:54+02:00,2017-08-11T15:34:31+02:00,217
11/08/17,move,transport,2017-08-11T15:34:32+02:00,2017-08-11T15:42:30+02:00,478
11/08/17,move,walking,2017-08-11T15:42:31+02:00,2017-08-11T15:59:47+02:00,1036
11/08/17,place,Place in Sarajevo,2017-08-11T15:59:48+02:00,2017-08-11T16:13:46+02:00,838
11/08/17,place,Place in Sarajevo,2017-08-11T16:13:47+02:00,2017-08-11T16:27:16+02:00,809
11/08/17,move,transport,2017-08-11T16:27:16+02:00,2017-08-11T16:37:16+02:00,600
11/08/17,place,Place in Sarajevo,2017-08-11T16:37:17+02:00,2017-08-11T20:16:15+02:00,13138
11/08/17,move,walking,2017-08-11T20:16:15+02:00,2017-08-11T20:45:38+02:00,1763
11/08/17,place,Place in Sarajevo,2017-08-11T20:45:39+02:00,2017-08-11T20:49:08+02:00,209
11/08/17,move,walking,2017-08-11T20:49:08+02:00,2017-08-11T21:03:02+02:00,834
11/08/17,place,Place in Sarajevo,2017-08-11T21:03:03+02:00,2017-08-11T21:14:29+02:00,686
11/08/17,move,walking,2017-08-11T21:14:29+02:00,2017-08-11T21:27:51+02:00,802
11/08/17,place,Place in Sarajevo,2017-08-11T21:27:52+02:00,2017-08-12T00:00:00+02:00,9128
12/08/17,place,Place in Sarajevo,2017-08-12T00:00:00+02:00,2017-08-12T00:15:01+02:00,901
12/08/17,move,walking,2017-08-12T00:15:01+02:00,2017-08-12T00:29:49+02:00,888
12/08/17,place,Place in Sarajevo,2017-08-12T00:29:50+02:00,2017-08-12T00:34:29+02:00,279
12/08/17,move,walking,2017-08-12T00:34:29+02:00,2017-08-12T00:40:08+02:00,339
12/08/17,place,Place in Sarajevo,2017-08-12T00:40:09+02:00,2017-08-12T13:04:02+02:00,44633
12/08/17,move,walking,2017-08-12T13:04:02+02:00,2017-08-12T13:17:50+02:00,828
12/08/17,place,Place in Sarajevo,2017-08-12T13:17:51+02:00,2017-08-12T13:19:51+02:00,120
12/08/17,move,walking,2017-08-12T13:19:51+02:00,2017-08-12T13:22:36+02:00,165
12/08/17,place,Place in Sarajevo,2017-08-12T13:22:37+02:00,2017-08-12T13:27:23+02:00,286
12/08/17,move,walking,2017-08-12T13:27:23+02:00,2017-08-12T13:32:37+02:00,314
12/08/17,place,Place in Sarajevo,2017-08-12T13:32:38+02:00,2017-08-12T13:45:45+02:00,787
12/08/17,move,walking,2017-08-12T13:45:45+02:00,2017-08-12T13:52:54+02:00,429
12/08/17,place,Place in Sarajevo,2017-08-12T13:52:55+02:00,2017-08-12T17:23:43+02:00,12648
12/08/17,place,Place in Sarajevo,2017-08-12T17:59:54+02:00,2017-08-12T19:48:29+02:00,6515
12/08/17,move,walking,2017-08-12T19:48:29+02:00,2017-08-12T19:58:24+02:00,595
12/08/17,place,Place in Sarajevo,2017-08-12T19:58:24+02:00,2017-08-12T20:24:11+02:00,1547
12/08/17,move,walking,2017-08-12T20:24:11+02:00,2017-08-12T20:27:14+02:00,183
12/08/17,place,Place in Sarajevo,2017-08-12T20:27:15+02:00,2017-08-12T20:36:03+02:00,528
12/08/17,move,walking,2017-08-12T20:36:03+02:00,2017-08-12T20:41:47+02:00,344
12/08/17,place,Place in Sarajevo,2017-08-12T20:41:48+02:00,2017-08-12T23:58:14+02:00,11786
12/08/17,move,walking,2017-08-12T23:58:14+02:00,2017-08-12T23:59:59+02:00,105
13/08/17,move,walking,2017-08-13T00:00:00+02:00,2017-08-13T00:08:18+02:00,498
13/08/17,place,Place in Sarajevo,2017-08-13T00:08:19+02:00,2017-08-13T00:54:47+02:00,2788
13/08/17,move,walking,2017-08-13T00:54:47+02:00,2017-08-13T01:02:02+02:00,435
13/08/17,place,Place in Sarajevo,2017-08-13T01:02:03+02:00,2017-08-13T13:09:12+02:00,43629
13/08/17,move,walking,2017-08-13T13:09:12+02:00,2017-08-13T13:13:17+02:00,245
13/08/17,place,Place in Sarajevo,2017-08-13T13:13:18+02:00,2017-08-13T13:30:44+02:00,1046
13/08/17,move,walking,2017-08-13T13:30:44+02:00,2017-08-13T13:43:09+02:00,745
13/08/17,place,Place in Sarajevo,2017-08-13T13:43:10+02:00,2017-08-13T13:45:41+02:00,151
13/08/17,move,walking,2017-08-13T13:45:41+02:00,2017-08-13T13:59:07+02:00,806
13/08/17,place,Place in Sarajevo,2017-08-13T13:59:08+02:00,2017-08-13T14:50:34+02:00,3086
13/08/17,move,walking,2017-08-13T14:50:34+02:00,2017-08-13T14:59:11+02:00,517
13/08/17,place,Place in Sarajevo,2017-08-13T14:59:12+02:00,2017-08-13T15:05:13+02:00,361
13/08/17,move,walking,2017-08-13T15:05:13+02:00,2017-08-13T15:14:17+02:00,544
13/08/17,place,Place in Sarajevo,2017-08-13T15:14:18+02:00,2017-08-13T21:50:50+02:00,23792
13/08/17,place,Place in Sarajevo,2017-08-13T21:50:51+02:00,2017-08-13T22:04:44+02:00,833
13/08/17,move,walking,2017-08-13T22:04:44+02:00,2017-08-13T22:08:01+02:00,197
13/08/17,place,Place in Sarajevo,2017-08-13T22:08:02+02:00,2017-08-13T22:20:01+02:00,719
13/08/17,place,Place in Sarajevo,2017-08-13T22:20:02+02:00,2017-08-13T22:47:11+02:00,1629
13/08/17,place,Place in Sarajevo,2017-08-13T22:47:12+02:00,2017-08-13T23:52:27+02:00,3915
13/08/17,move,walking,2017-08-13T23:52:27+02:00,2017-08-13T23:59:59+02:00,452
14/08/17,move,walking,2017-08-14T00:00:00+02:00,2017-08-14T00:00:41+02:00,41
14/08/17,place,Place in Sarajevo,2017-08-14T00:00:42+02:00,2017-08-14T10:42:02+02:00,38480
14/08/17,place,Place in Sarajevo,2017-08-14T10:42:03+02:00,2017-08-14T10:55:02+02:00,779
14/08/17,place,Place in Sarajevo,2017-08-14T10:55:03+02:00,2017-08-14T13:52:01+02:00,10618
14/08/17,place,Place in Sarajevo,2017-08-14T17:29:03+02:00,2017-08-14T18:57:56+02:00,5333
14/08/17,move,walking,2017-08-14T18:57:56+02:00,2017-08-14T19:03:51+02:00,355
14/08/17,place,Place in Sarajevo,2017-08-14T19:03:52+02:00,2017-08-14T19:06:39+02:00,167
14/08/17,move,walking,2017-08-14T19:06:39+02:00,2017-08-14T19:14:12+02:00,453
14/08/17,place,Place in Sarajevo,2017-08-14T19:14:13+02:00,2017-08-14T21:09:14+02:00,6901
14/08/17,move,walking,2017-08-14T21:09:14+02:00,2017-08-14T21:35:06+02:00,1552
14/08/17,place,Place in Sarajevo,2017-08-14T21:35:07+02:00,2017-08-14T21:43:34+02:00,507
14/08/17,place,Place in Sarajevo,2017-08-14T21:43:35+02:00,2017-08-15T00:00:00+02:00,8185
15/08/17,place,Place in Sarajevo,2017-08-15T00:00:00+02:00,2017-08-15T00:51:43+02:00,3103
15/08/17,move,walking,2017-08-15T00:51:43+02:00,2017-08-15T01:05:45+02:00,842
15/08/17,place,Place in Sarajevo,2017-08-15T01:05:46+02:00,2017-08-15T09:28:33+02:00,30167
15/08/17,move,walking,2017-08-15T09:28:33+02:00,2017-08-15T09:37:35+02:00,542
15/08/17,place,Place in Sarajevo,2017-08-15T09:43:54+02:00,2017-08-15T09:49:30+02:00,336
15/08/17,move,walking,2017-08-15T09:49:30+02:00,2017-08-15T09:53:12+02:00,222
15/08/17,place,Place in Sarajevo,2017-08-15T09:53:13+02:00,2017-08-15T12:16:11+02:00,8578
15/08/17,move,walking,2017-08-15T12:16:11+02:00,2017-08-15T12:23:44+02:00,453
15/08/17,place,Place in Sarajevo,2017-08-15T12:23:45+02:00,2017-08-15T17:46:30+02:00,19365
15/08/17,move,walking,2017-08-15T17:46:30+02:00,2017-08-15T17:59:13+02:00,763
15/08/17,place,Place in Sarajevo,2017-08-15T17:59:14+02:00,2017-08-15T18:35:03+02:00,2149
