Date,Type,Name,Start,End,Duration
13/05/17,place,"Place in Vesterbro, København",2017-05-13T00:00:00+02:00,2017-05-13T00:10:15+02:00,615
13/05/17,move,cycling,2017-05-13T00:10:15+02:00,2017-05-13T00:29:14+02:00,1139
13/05/17,place,"Place in Christianshavn, København",2017-05-13T00:29:14+02:00,2017-05-13T13:17:01+02:00,46067
13/05/17,move,walking,2017-05-13T13:17:01+02:00,2017-05-13T13:19:01+02:00,120
13/05/17,move,cycling,2017-05-13T13:19:02+02:00,2017-05-13T13:23:12+02:00,250
13/05/17,place,"Place in Indre By, København",2017-05-13T13:23:13+02:00,2017-05-13T15:53:55+02:00,9042
13/05/17,move,transport,2017-05-13T15:53:55+02:00,2017-05-13T16:25:07+02:00,1872
13/05/17,place,"Place in Amagerbro Station, København",2017-05-13T16:25:07+02:00,2017-05-13T16:45:21+02:00,1214
13/05/17,move,walking,2017-05-13T16:45:21+02:00,2017-05-13T16:48:54+02:00,213
13/05/17,place,"Place in Amagerbro Station, København",2017-05-13T16:48:55+02:00,2017-05-13T16:55:33+02:00,398
13/05/17,move,walking,2017-05-13T16:55:33+02:00,2017-05-13T17:03:09+02:00,456
13/05/17,place,Place in Copenhagen,2017-05-13T17:03:10+02:00,2017-05-13T17:05:29+02:00,139
13/05/17,move,walking,2017-05-13T17:05:29+02:00,2017-05-13T17:08:05+02:00,156
13/05/17,place,"Place in Amagerbro Station, København",2017-05-13T17:08:06+02:00,2017-05-13T17:24:17+02:00,971
13/05/17,move,walking,2017-05-13T17:24:17+02:00,2017-05-13T17:28:15+02:00,238
13/05/17,place,"Place in Amagerbro Station, København",2017-05-13T17:28:16+02:00,2017-05-13T18:26:51+02:00,3515
13/05/17,move,transport,2017-05-13T18:26:51+02:00,2017-05-13T18:35:53+02:00,542
13/05/17,place,"Place in Christianshavn, København",2017-05-13T18:35:53+02:00,2017-05-13T18:39:59+02:00,246
13/05/17,move,walking,2017-05-13T18:39:59+02:00,2017-05-13T18:46:21+02:00,382
13/05/17,place,"Place in Christianshavn, København",2017-05-13T18:46:22+02:00,2017-05-14T00:00:00+02:00,18818
