Date,Type,Name,Start,End,Duration
27/05/17,place,"Place in Centrum, København",2017-05-27T00:00:00+02:00,2017-05-27T00:14:40+02:00,880
27/05/17,move,walking,2017-05-27T00:14:40+02:00,2017-05-27T00:36:06+02:00,1286
27/05/17,place,"Place in Indre By, København",2017-05-27T00:36:07+02:00,2017-05-27T00:52:14+02:00,967
27/05/17,move,walking,2017-05-27T00:52:14+02:00,2017-05-27T01:06:29+02:00,855
27/05/17,place,"Place in Indre By, København",2017-05-27T01:06:29+02:00,2017-05-27T01:15:33+02:00,544
27/05/17,move,cycling,2017-05-27T01:15:33+02:00,2017-05-27T01:21:22+02:00,349
27/05/17,place,"Place in Centrum, København",2017-05-27T01:21:23+02:00,2017-05-27T01:34:30+02:00,787
27/05/17,move,cycling,2017-05-27T01:34:30+02:00,2017-05-27T01:42:11+02:00,461
27/05/17,place,"Place in Christianshavn, København",2017-05-27T01:42:12+02:00,2017-05-27T10:30:10+02:00,31678
27/05/17,place,"Place in Christianshavn, København",2017-05-27T10:30:11+02:00,2017-05-27T10:45:38+02:00,927
27/05/17,move,walking,2017-05-27T10:45:38+02:00,2017-05-27T10:50:51+02:00,313
27/05/17,place,"Place in Christianshavn, København",2017-05-27T10:50:51+02:00,2017-05-27T19:49:17+02:00,32306
27/05/17,move,walking,2017-05-27T19:49:17+02:00,2017-05-27T20:44:24+02:00,3307
27/05/17,place,"Place in Vesterbro, København",2017-05-27T20:44:24+02:00,2017-05-27T21:07:07+02:00,1363
27/05/17,move,walking,2017-05-27T21:07:07+02:00,2017-05-27T21:26:00+02:00,1133
27/05/17,place,Place in Copenhagen,2017-05-27T21:26:01+02:00,2017-05-27T21:40:00+02:00,839
27/05/17,move,walking,2017-05-27T21:40:00+02:00,2017-05-27T21:47:01+02:00,421
27/05/17,place,Place in Copenhagen,2017-05-27T21:47:02+02:00,2017-05-27T21:52:19+02:00,317
27/05/17,move,cycling,2017-05-27T21:52:19+02:00,2017-05-27T21:58:24+02:00,365
27/05/17,place,Place in Copenhagen,2017-05-27T21:58:25+02:00,2017-05-27T21:58:51+02:00,26
27/05/17,move,walking,2017-05-27T21:58:51+02:00,2017-05-27T22:05:15+02:00,384
27/05/17,place,Place in Copenhagen,2017-05-27T22:05:15+02:00,2017-05-27T22:36:08+02:00,1853
27/05/17,move,walking,2017-05-27T22:36:08+02:00,2017-05-27T23:01:56+02:00,1548
27/05/17,place,"Place in Vesterbro, København",2017-05-27T23:01:57+02:00,2017-05-27T23:07:05+02:00,308
27/05/17,place,Place in Copenhagen,2017-05-27T23:07:06+02:00,2017-05-28T00:00:00+02:00,3174
