Date,Type,Name,Start,End,Duration
08/06/17,place,"Place in Christianshavn, København",2017-06-08T00:00:00+02:00,2017-06-08T07:53:04+02:00,28384
08/06/17,move,cycling,2017-06-08T07:53:04+02:00,2017-06-08T08:01:04+02:00,480
08/06/17,place,"Place in Østerport, København",2017-06-08T08:01:05+02:00,2017-06-08T12:29:58+02:00,16133
08/06/17,move,walking,2017-06-08T12:29:58+02:00,2017-06-08T12:38:51+02:00,533
08/06/17,place,"Place in Indre By, København",2017-06-08T12:38:51+02:00,2017-06-08T13:38:41+02:00,3590
08/06/17,move,walking,2017-06-08T13:38:41+02:00,2017-06-08T13:41:40+02:00,179
08/06/17,place,"Place in Indre By, København",2017-06-08T13:41:41+02:00,2017-06-08T13:42:46+02:00,65
08/06/17,move,walking,2017-06-08T13:42:46+02:00,2017-06-08T13:44:22+02:00,96
08/06/17,place,"Place in Østerport, København",2017-06-08T13:49:25+02:00,2017-06-08T16:46:35+02:00,10630
08/06/17,move,transport,2017-06-08T16:46:35+02:00,2017-06-08T16:55:41+02:00,546
08/06/17,place,"Place in Christianshavn, København",2017-06-08T16:55:41+02:00,2017-06-08T17:44:00+02:00,2899
08/06/17,move,transport,2017-06-08T17:44:00+02:00,2017-06-08T18:00:20+02:00,980
08/06/17,place,"Place in Amagerbro Station, København",2017-06-08T18:00:20+02:00,2017-06-08T19:40:41+02:00,6021
08/06/17,move,cycling,2017-06-08T19:40:41+02:00,2017-06-08T19:47:48+02:00,427
08/06/17,place,"Place in Christianshavn, København",2017-06-08T19:47:48+02:00,2017-06-08T20:01:37+02:00,829
08/06/17,place,"Place in Christianshavn, København",2017-06-08T20:01:37+02:00,2017-06-09T00:00:00+02:00,14303
