Date,Type,Name,Start,End,Duration
27/08/17,place,"Place in Christianshavn, København",2017-08-27T14:54:46+02:00,2017-08-27T17:40:06+02:00,9920
27/08/17,move,cycling,2017-08-27T17:40:06+02:00,2017-08-27T17:44:49+02:00,283
27/08/17,place,"Place in Indre By, København",2017-08-27T17:44:50+02:00,2017-08-27T19:39:07+02:00,6857
27/08/17,move,cycling,2017-08-27T19:39:07+02:00,2017-08-27T19:48:56+02:00,589
27/08/17,move,walking,2017-08-27T19:48:56+02:00,2017-08-27T19:49:22+02:00,26
27/08/17,move,transport,2017-08-27T19:49:22+02:00,2017-08-27T19:57:51+02:00,509
27/08/17,place,"Place in Østerbro, København",2017-08-27T19:57:52+02:00,2017-08-27T22:17:11+02:00,8359
27/08/17,move,cycling,2017-08-27T22:17:11+02:00,2017-08-27T22:35:43+02:00,1112
27/08/17,place,"Place in Christianshavn, København",2017-08-27T22:35:44+02:00,2017-08-28T00:00:00+02:00,5056
