Date,Type,Name,Start,End,Duration
19/08/17,place,Place in Kifisiá,2017-08-19T00:00:00+02:00,2017-08-19T11:21:19+02:00,40879
19/08/17,move,walking,2017-08-19T11:21:19+02:00,2017-08-19T11:25:44+02:00,265
19/08/17,move,transport,2017-08-19T11:25:44+02:00,2017-08-19T12:02:41+02:00,2217
19/08/17,place,Place in Néa Mákri,2017-08-19T12:02:42+02:00,2017-08-19T13:25:07+02:00,4945
19/08/17,move,transport,2017-08-19T13:25:07+02:00,2017-08-19T14:21:04+02:00,3357
19/08/17,place,Place in Kifisiá,2017-08-19T14:21:05+02:00,2017-08-19T16:44:55+02:00,8630
19/08/17,move,transport,2017-08-19T16:44:55+02:00,2017-08-19T17:04:14+02:00,1159
19/08/17,move,walking,2017-08-19T17:04:14+02:00,2017-08-19T17:11:10+02:00,416
19/08/17,place,Place in Khalándrion,2017-08-19T17:11:11+02:00,2017-08-19T19:53:34+02:00,9743
19/08/17,move,walking,2017-08-19T19:53:34+02:00,2017-08-19T19:57:25+02:00,231
19/08/17,place,Place in Khalándrion,2017-08-19T19:57:26+02:00,2017-08-19T21:30:51+02:00,5605
19/08/17,move,walking,2017-08-19T21:30:51+02:00,2017-08-19T21:40:52+02:00,601
19/08/17,place,Place in Khalándrion,2017-08-19T21:40:53+02:00,2017-08-19T23:12:34+02:00,5501
19/08/17,move,walking,2017-08-19T23:12:34+02:00,2017-08-19T23:19:52+02:00,438
19/08/17,move,transport,2017-08-19T23:19:52+02:00,2017-08-19T23:34:56+02:00,904
19/08/17,place,Place in Kifisiá,2017-08-19T23:34:57+02:00,2017-08-20T00:00:00+02:00,1503
