Date,Type,Name,Start,End,Duration
10/07/17,place,Place in Kupiskis,2017-07-10T00:00:00+02:00,2017-07-10T12:44:10+02:00,45850
10/07/17,move,cycling,2017-07-10T12:44:10+02:00,2017-07-10T12:57:12+02:00,782
10/07/17,place,Place in Kupiskis,2017-07-10T12:57:13+02:00,2017-07-10T13:33:29+02:00,2176
10/07/17,move,cycling,2017-07-10T13:33:29+02:00,2017-07-10T16:43:53+02:00,11424
10/07/17,place,Place in Anyksciai,2017-07-10T16:43:54+02:00,2017-07-10T18:30:27+02:00,6393
10/07/17,move,cycling,2017-07-10T18:30:27+02:00,2017-07-10T20:23:52+02:00,6805
10/07/17,place,Place in Ukmerge,2017-07-10T20:23:53+02:00,2017-07-10T20:46:47+02:00,1374
10/07/17,move,cycling,2017-07-10T20:46:47+02:00,2017-07-10T21:49:18+02:00,3751
10/07/17,place,Place in Vepriai,2017-07-10T21:49:19+02:00,2017-07-11T00:00:00+02:00,7841
