Date,Type,Name,Start,End,Duration
28/04/17,place,"Place in Exarcheia, Athens",2017-04-28T00:00:00+02:00,2017-04-28T01:01:21+02:00,3681
28/04/17,move,transport,2017-04-28T01:01:21+02:00,2017-04-28T01:31:18+02:00,1797
28/04/17,place,Place in Kifisiá,2017-04-28T01:31:19+02:00,2017-04-28T12:34:24+02:00,39785
28/04/17,move,transport,2017-04-28T12:34:24+02:00,2017-04-28T12:38:56+02:00,272
28/04/17,place,Place in Kifisiá,2017-04-28T12:38:57+02:00,2017-04-28T14:25:55+02:00,6418
28/04/17,move,transport,2017-04-28T14:25:55+02:00,2017-04-28T14:30:24+02:00,269
28/04/17,place,Place in Kifisiá,2017-04-28T14:30:25+02:00,2017-04-28T17:48:57+02:00,11912
28/04/17,move,transport,2017-04-28T17:48:57+02:00,2017-04-28T18:20:45+02:00,1908
28/04/17,place,"Place in Thiseio, Athens",2017-04-28T18:20:46+02:00,2017-04-28T20:59:49+02:00,9543
28/04/17,move,transport,2017-04-28T20:59:49+02:00,2017-04-28T21:02:09+02:00,140
28/04/17,move,running,2017-04-28T21:02:09+02:00,2017-04-28T21:08:35+02:00,386
28/04/17,place,"Place in Plateia Koumoundourou, Athens",2017-04-28T21:08:35+02:00,2017-04-29T00:00:00+02:00,10285
