Date,Type,Name,Start,End,Duration
28/08/17,place,"Place in Christianshavn, København",2017-08-28T00:00:00+02:00,2017-08-28T08:31:52+02:00,30712
28/08/17,move,cycling,2017-08-28T08:31:52+02:00,2017-08-28T08:41:48+02:00,596
28/08/17,place,"Place in Østerport, København",2017-08-28T08:41:48+02:00,2017-08-28T12:00:15+02:00,11907
28/08/17,place,"Place in Østerport, København",2017-08-28T12:00:16+02:00,2017-08-28T12:27:52+02:00,1656
28/08/17,move,walking,2017-08-28T12:27:52+02:00,2017-08-28T12:39:24+02:00,692
28/08/17,place,"Place in Østerport, København",2017-08-28T12:39:25+02:00,2017-08-28T14:55:22+02:00,8157
