Date,Type,Name,Start,End,Duration
15/04/17,place,"Place in Christianshavn, København",2017-04-15T00:00:00+02:00,2017-04-15T06:05:39+02:00,21939
15/04/17,move,walking,2017-04-15T06:05:39+02:00,2017-04-15T06:10:35+02:00,296
15/04/17,move,transport,2017-04-15T06:10:35+02:00,2017-04-15T06:32:30+02:00,1315
15/04/17,move,walking,2017-04-15T06:32:31+02:00,2017-04-15T06:40:11+02:00,460
15/04/17,place,Copenhagen Airport (CPH),2017-04-15T06:40:12+02:00,2017-04-15T07:00:37+02:00,1225
15/04/17,place,Place in Kastrup,2017-04-15T07:00:38+02:00,2017-04-15T07:10:14+02:00,576
15/04/17,move,walking,2017-04-15T07:10:14+02:00,2017-04-15T07:14:16+02:00,242
15/04/17,place,Place in Kastrup,2017-04-15T07:14:17+02:00,2017-04-15T08:05:20+02:00,3063
15/04/17,move,transport,2017-04-15T08:05:21+02:00,2017-04-15T11:23:59+02:00,11918
15/04/17,place,Keflavik International Airport,2017-04-15T11:24:00+02:00,2017-04-15T11:35:31+02:00,691
15/04/17,place,Place in Sandgerði,2017-04-15T11:35:32+02:00,2017-04-15T12:04:40+02:00,1748
15/04/17,move,transport,2017-04-15T12:04:40+02:00,2017-04-15T13:04:39+02:00,3599
15/04/17,place,Place in Reykjavík,2017-04-15T13:04:40+02:00,2017-04-15T13:52:48+02:00,2888
15/04/17,move,transport,2017-04-15T13:52:48+02:00,2017-04-15T13:56:13+02:00,205
15/04/17,move,walking,2017-04-15T13:56:13+02:00,2017-04-15T14:09:45+02:00,812
15/04/17,place,Place in Reykjavík,2017-04-15T14:09:46+02:00,2017-04-15T14:27:53+02:00,1087
15/04/17,move,walking,2017-04-15T14:27:53+02:00,2017-04-15T14:32:30+02:00,277
15/04/17,place,Place in Reykjavík,2017-04-15T14:32:31+02:00,2017-04-15T14:41:15+02:00,524
15/04/17,move,walking,2017-04-15T14:41:15+02:00,2017-04-15T14:50:27+02:00,552
15/04/17,place,Place in Reykjavík,2017-04-15T14:50:28+02:00,2017-04-15T14:53:01+02:00,153
15/04/17,move,walking,2017-04-15T14:53:01+02:00,2017-04-15T15:00:07+02:00,426
15/04/17,place,Place in Reykjavík,2017-04-15T15:00:07+02:00,2017-04-15T15:04:53+02:00,286
15/04/17,move,walking,2017-04-15T15:04:53+02:00,2017-04-15T15:10:04+02:00,311
15/04/17,place,Harpa Concert Hall and Conference Centre,2017-04-15T15:10:05+02:00,2017-04-15T15:54:46+02:00,2681
15/04/17,move,walking,2017-04-15T15:54:46+02:00,2017-04-15T15:59:28+02:00,282
15/04/17,place,Place in Reykjavík,2017-04-15T15:59:29+02:00,2017-04-15T16:03:42+02:00,253
15/04/17,move,walking,2017-04-15T16:03:42+02:00,2017-04-15T16:11:29+02:00,467
15/04/17,place,Stofan Kaffihús,2017-04-15T16:11:30+02:00,2017-04-15T17:29:15+02:00,4665
15/04/17,move,walking,2017-04-15T17:29:15+02:00,2017-04-15T17:53:30+02:00,1455
15/04/17,place,Listasafn Einars Jónssonar,2017-04-15T17:53:31+02:00,2017-04-15T18:15:39+02:00,1328
15/04/17,move,walking,2017-04-15T18:15:39+02:00,2017-04-15T18:20:33+02:00,294
15/04/17,place,Place in Reykjavík,2017-04-15T18:20:33+02:00,2017-04-15T18:23:33+02:00,180
15/04/17,move,walking,2017-04-15T18:23:33+02:00,2017-04-15T18:33:09+02:00,576
15/04/17,place,Place in Reykjavík,2017-04-15T18:33:09+02:00,2017-04-15T21:53:07+02:00,11998
15/04/17,move,walking,2017-04-15T21:53:07+02:00,2017-04-15T21:55:11+02:00,124
15/04/17,place,Place in Reykjavík,2017-04-15T21:55:11+02:00,2017-04-15T22:01:02+02:00,351
15/04/17,move,walking,2017-04-15T22:01:02+02:00,2017-04-15T22:33:03+02:00,1921
15/04/17,place,Place in Reykjavík,2017-04-15T22:33:04+02:00,2017-04-16T00:00:00+02:00,5216
