Date,Type,Name,Start,End,Duration
21/07/17,place,Place in Ivano-Frankivsk,2017-07-21T00:00:00+02:00,2017-07-21T10:11:43+02:00,36703
21/07/17,move,cycling,2017-07-21T10:11:43+02:00,2017-07-21T12:01:24+02:00,6581
21/07/17,place,Place in Ozeryany,2017-07-21T12:01:25+02:00,2017-07-21T12:14:09+02:00,764
21/07/17,move,cycling,2017-07-21T12:14:09+02:00,2017-07-21T13:54:02+02:00,5993
21/07/17,place,Place in Tyshkivtsi,2017-07-21T13:54:03+02:00,2017-07-21T14:21:46+02:00,1663
21/07/17,move,cycling,2017-07-21T14:21:46+02:00,2017-07-21T15:08:21+02:00,2795
21/07/17,place,Place in Horodenka,2017-07-21T15:08:22+02:00,2017-07-21T15:33:42+02:00,1520
21/07/17,move,cycling,2017-07-21T15:33:42+02:00,2017-07-21T15:51:33+02:00,1071
21/07/17,place,Place in Serafintsi,2017-07-21T15:51:34+02:00,2017-07-21T15:59:27+02:00,473
21/07/17,move,cycling,2017-07-21T15:59:27+02:00,2017-07-21T17:17:04+02:00,4657
21/07/17,place,Place in Zvenyachiy,2017-07-21T17:17:04+02:00,2017-07-21T17:28:36+02:00,692
21/07/17,move,cycling,2017-07-21T17:28:36+02:00,2017-07-21T17:47:33+02:00,1137
21/07/17,place,Place in Zalishchyky,2017-07-21T17:47:34+02:00,2017-07-22T00:00:00+02:00,22346
