Date,Type,Name,Start,End,Duration
24/07/17,place,Place in Draguseni,2017-07-24T00:00:00+02:00,2017-07-24T09:34:09+02:00,34449
24/07/17,move,cycling,2017-07-24T09:34:09+02:00,2017-07-24T13:29:29+02:00,14120
24/07/17,place,Place in Dragomiresti,2017-07-24T13:29:30+02:00,2017-07-24T16:24:32+02:00,10502
24/07/17,move,cycling,2017-07-24T16:24:32+02:00,2017-07-24T17:38:01+02:00,4409
24/07/17,place,Place in Iana,2017-07-24T17:38:02+02:00,2017-07-24T17:51:00+02:00,778
24/07/17,move,cycling,2017-07-24T17:51:00+02:00,2017-07-24T19:22:21+02:00,5481
24/07/17,place,Place in Bârlad,2017-07-24T19:22:22+02:00,2017-07-25T00:00:00+02:00,16658
