Date,Type,Name,Start,End,Duration
17/06/17,place,Place in Khalándrion,2017-06-17T00:00:00+02:00,2017-06-17T00:54:32+02:00,3272
17/06/17,move,walking,2017-06-17T00:54:32+02:00,2017-06-17T01:02:10+02:00,458
17/06/17,move,transport,2017-06-17T01:02:10+02:00,2017-06-17T01:13:06+02:00,656
17/06/17,place,Place in Amaroúsion,2017-06-17T01:13:07+02:00,2017-06-17T01:24:34+02:00,687
17/06/17,move,transport,2017-06-17T01:24:34+02:00,2017-06-17T01:46:02+02:00,1288
17/06/17,place,Place in Kifisiá,2017-06-17T01:46:03+02:00,2017-06-17T09:37:41+02:00,28298
17/06/17,move,transport,2017-06-17T09:37:41+02:00,2017-06-17T10:14:44+02:00,2223
17/06/17,move,walking,2017-06-17T10:14:44+02:00,2017-06-17T10:17:45+02:00,181
17/06/17,place,"Place in Omonoia, Athens",2017-06-17T10:17:45+02:00,2017-06-17T10:36:02+02:00,1097
17/06/17,move,walking,2017-06-17T10:36:02+02:00,2017-06-17T10:41:20+02:00,318
17/06/17,move,walking,2017-06-17T10:41:21+02:00,2017-06-17T10:47:01+02:00,340
17/06/17,place,Place in Athens,2017-06-17T10:47:02+02:00,2017-06-17T10:52:30+02:00,328
17/06/17,move,walking,2017-06-17T10:52:30+02:00,2017-06-17T10:57:19+02:00,289
17/06/17,place,"Place in Sýntagma, Athens",2017-06-17T10:57:20+02:00,2017-06-17T11:06:46+02:00,566
17/06/17,move,walking,2017-06-17T11:06:46+02:00,2017-06-17T11:21:06+02:00,860
17/06/17,move,transport,2017-06-17T11:21:06+02:00,2017-06-17T12:27:13+02:00,3967
17/06/17,place,Place in Néa Mákri,2017-06-17T12:27:14+02:00,2017-06-17T12:39:08+02:00,714
17/06/17,move,walking,2017-06-17T12:39:08+02:00,2017-06-17T12:43:40+02:00,272
17/06/17,place,Place in Néa Mákri,2017-06-17T12:43:41+02:00,2017-06-17T13:40:15+02:00,3394
17/06/17,move,walking,2017-06-17T13:40:15+02:00,2017-06-17T13:44:27+02:00,252
17/06/17,place,Place in Néa Mákri,2017-06-17T13:44:28+02:00,2017-06-17T14:15:35+02:00,1867
17/06/17,move,transport,2017-06-17T14:15:35+02:00,2017-06-17T14:34:03+02:00,1108
17/06/17,place,Place in Marathón,2017-06-17T14:34:04+02:00,2017-06-17T14:52:01+02:00,1077
17/06/17,move,transport,2017-06-17T14:52:01+02:00,2017-06-17T15:19:19+02:00,1638
17/06/17,place,Place in Néa Stíra,2017-06-17T15:19:21+02:00,2017-06-17T17:08:57+02:00,6576
17/06/17,move,transport,2017-06-17T17:08:57+02:00,2017-06-17T17:50:23+02:00,2486
17/06/17,place,Place in Marathón,2017-06-17T17:50:24+02:00,2017-06-17T18:15:22+02:00,1498
17/06/17,move,transport,2017-06-17T18:15:22+02:00,2017-06-17T18:38:24+02:00,1382
17/06/17,place,Place in Néa Mákri,2017-06-17T18:38:25+02:00,2017-06-17T18:49:02+02:00,637
17/06/17,move,transport,2017-06-17T18:49:02+02:00,2017-06-17T18:52:38+02:00,216
17/06/17,place,Place in Néa Mákri,2017-06-17T18:52:39+02:00,2017-06-17T21:18:22+02:00,8743
17/06/17,move,transport,2017-06-17T21:18:22+02:00,2017-06-17T21:29:26+02:00,664
17/06/17,place,Place in Néa Mákri,2017-06-17T21:29:27+02:00,2017-06-17T21:33:47+02:00,260
17/06/17,move,transport,2017-06-17T21:33:47+02:00,2017-06-17T22:37:58+02:00,3851
17/06/17,place,Place in Kifisiá,2017-06-17T22:37:59+02:00,2017-06-18T00:00:00+02:00,4921
