day,sleep_duration,deep,light,awake
Jul 21,6:24 hrs,1:15 hrs,5:09 hrs,0:00 hrs
Jul 22,8:12 hrs,1:27 hrs,6:45 hrs,0:00 hrs
Jul 23,5:48 hrs,1:01 hrs,4:47 hrs,0:00 hrs
Jul 24,7:06 hrs,1:36 hrs,5:30 hrs,0:00 hrs
Jul 25,5:45 hrs,2:13 hrs,3:32 hrs,0:00 hrs
Jul 26,7:42 hrs,2:19 hrs,5:23 hrs,0:00 hrs
Jul 27,8:39 hrs,2:39 hrs,6:00 hrs,0:00 hrs
