day,sleep_duration,deep,light,awake
Jul 7,6:47 hrs,1:29 hrs,5:18 hrs,0:00 hrs
Jul 8,8:20 hrs,2:21 hrs,5:59 hrs,0:00 hrs
Jul 9,7:07 hrs,2:12 hrs,4:55 hrs,0:00 hrs
Jul 10,8:38 hrs,1:45 hrs,6:53 hrs,0:00 hrs
Jul 11,5:11 hrs,1:41 hrs,3:30 hrs,0:00 hrs
Jul 12,9:49 hrs,4:13 hrs,5:36 hrs,0:00 hrs
Jul 13,6:59 hrs,2:07 hrs,4:52 hrs,0:00 hrs
