day,date,lat,lon,state
0,05/07/2017,59.33,24.63,1
1,05/07/2017,58.95,24.33,2
2,06/07/2017,58.31,24.55,2
3,07/07/2017,57.87,24.68,2
4,08/07/2017,56.54,24.75,2
5,09/07/2017,56.54,24.75,0
