Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
27/07/17,Place in Slobozia Noua,2017-07-27T00:00:00+02:00,2017-07-27T08:57:50+02:00,32270,44.599951,27.417954,,
27/07/17,Place in Calarasi,2017-07-27T11:30:12+02:00,2017-07-27T11:55:16+02:00,1504,44.205246,27.337689,,
27/07/17,Place in Silistra,2017-07-27T12:37:47+02:00,2017-07-27T12:49:23+02:00,696,44.131478,27.268097,,
27/07/17,Place in Silistra,2017-07-27T12:49:23+02:00,2017-07-27T13:03:45+02:00,862,44.130898,27.269164,,
27/07/17,Place in Silistra,2017-07-27T13:37:07+02:00,2017-07-27T14:11:14+02:00,2047,44.114881,27.273934,,
27/07/17,Place in Silistra,2017-07-27T14:15:57+02:00,2017-07-27T14:27:18+02:00,681,44.114342,27.266518,,
27/07/17,Place in Silistra,2017-07-27T14:27:19+02:00,2017-07-27T15:15:14+02:00,2875,44.115227,27.266257,,
27/07/17,Place in Silistra,2017-07-27T15:20:36+02:00,2017-07-27T15:45:32+02:00,1496,44.119063,27.261268,,
27/07/17,Place in Silistra,2017-07-27T15:56:47+02:00,2017-07-27T16:04:20+02:00,453,44.10251,27.264615,,
27/07/17,Place in Alfatar,2017-07-27T17:55:44+02:00,2017-07-27T18:15:18+02:00,1174,43.869889,27.324675,,
27/07/17,Place in Tervel,2017-07-27T19:06:03+02:00,2017-07-27T19:17:59+02:00,716,43.767755,27.374664,,
27/07/17,Place in Tervel,2017-07-27T19:18:00+02:00,2017-07-27T22:49:29+02:00,12689,43.767597,27.372715,,
27/07/17,Place in Tervel,2017-07-27T22:49:30+02:00,2017-07-28T00:00:00+02:00,4230,43.767743,27.373875,,
