Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
29/03/17,"Place in Christianshavn, København",2017-03-29T00:00:00+02:00,2017-03-29T09:06:42+02:00,32802,55.67439,12.59182,,
29/03/17,Place in Kongens Lyngby,2017-03-29T09:56:39+02:00,2017-03-29T16:45:28+02:00,24529,55.783588,12.518219,,
29/03/17,Place in Kongens Lyngby,2017-03-29T16:54:23+02:00,2017-03-29T18:19:14+02:00,5091,55.781602,12.507931,,
29/03/17,Place in Kongens Lyngby,2017-03-29T18:30:31+02:00,2017-03-29T18:45:48+02:00,917,55.786447,12.523229,,
29/03/17,"Place in Christianshavn, København",2017-03-29T19:29:34+02:00,2017-03-30T00:00:00+02:00,16226,55.67439,12.59182,,
