Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
26/07/17,Place in Galati,2017-07-26T00:00:00+02:00,2017-07-26T09:59:19+02:00,35959,45.378354,28.023441,,
26/07/17,Place in Braila,2017-07-26T11:00:50+02:00,2017-07-26T11:12:10+02:00,680,45.272041,27.958042,,
26/07/17,Place in Braila,2017-07-26T11:12:10+02:00,2017-07-26T11:39:16+02:00,1626,45.271087,27.956462,,
26/07/17,Place in Unirea,2017-07-26T13:01:33+02:00,2017-07-26T13:17:39+02:00,966,45.07473,27.80187,,
26/07/17,Place in Insuratei,2017-07-26T14:20:43+02:00,2017-07-26T14:51:57+02:00,1874,44.91513,27.607049,,
26/07/17,Place in Cosambesti,2017-07-26T17:14:00+02:00,2017-07-26T18:39:17+02:00,5117,44.594067,27.422989,,
26/07/17,Place in Slobozia Noua,2017-07-26T19:07:05+02:00,2017-07-26T19:09:05+02:00,120,44.600593,27.426521,,
26/07/17,Place in Slobozia Noua,2017-07-26T19:17:58+02:00,2017-07-26T19:26:37+02:00,519,44.599951,27.417954,,
26/07/17,Place in Slobozia Noua,2017-07-26T20:33:21+02:00,2017-07-27T00:00:00+02:00,12399,44.599951,27.417954,,
