Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"15-05-2017","0","0","0","0"
"16-05-2017","0","0","0","0"
"17-05-2017","391","20","1","412"
"18-05-2017","334","23","1","357"
"19-05-2017","0","0","0","0"
"20-05-2017","0","0","0","0"

