day,sleep_duration,deep,light,awake
Jun 30,8:51 hrs,3:35 hrs,5:16 hrs,0:00 hrs
Jul 1,8:43 hrs,4:08 hrs,4:35 hrs,0:00 hrs
Jul 2,5:52 hrs,2:40 hrs,3:12 hrs,0:00 hrs
Jul 3,5:52 hrs,2:09 hrs,3:43 hrs,0:00 hrs
Jul 4,10:25 hrs,4:11 hrs,6:14 hrs,0:00 hrs
Jul 5,1:01 hrs,0:00 hrs,1:01 hrs,0:00 hrs
Jul 6,10:31 hrs,3:46 hrs,6:45 hrs,0:00 hrs
