day,sleep_duration,deep,light,awake
Aug 4,8:50 hrs,1:53 hrs,6:57 hrs,0:00 hrs
Aug 5,7:18 hrs,1:21 hrs,5:57 hrs,0:00 hrs
Aug 6,7:21 hrs,1:26 hrs,5:55 hrs,0:00 hrs
Aug 7,7:03 hrs,1:38 hrs,5:25 hrs,0:00 hrs
Aug 8,9:13 hrs,2:10 hrs,7:03 hrs,0:02 hrs
Aug 9,9:36 hrs,1:38 hrs,7:58 hrs,0:00 hrs
Aug 10,4:50 hrs,1:25 hrs,3:25 hrs,0:00 hrs
