day,sleep_duration,deep,light,awake
Jul 14,8:08 hrs,4:19 hrs,3:49 hrs,0:00 hrs
Jul 15,5:39 hrs,1:01 hrs,4:38 hrs,0:00 hrs
Jul 16,7:31 hrs,2:54 hrs,4:37 hrs,0:00 hrs
Jul 17,7:58 hrs,2:00 hrs,5:58 hrs,0:00 hrs
Jul 18,7:45 hrs,1:57 hrs,5:48 hrs,0:00 hrs
Jul 19,7:58 hrs,2:25 hrs,5:33 hrs,0:00 hrs
Jul 20,7:30 hrs,2:38 hrs,4:52 hrs,0:00 hrs
