Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
24/04/17,Place in Mistrás,2017-04-24T00:00:00+02:00,2017-04-24T11:21:28+02:00,40888,37.115528,22.344192,,
24/04/17,Place in Sparta,2017-04-24T12:03:52+02:00,2017-04-24T12:36:24+02:00,1952,37.043974,22.4427,,
24/04/17,Place in Sparta,2017-04-24T12:54:29+02:00,2017-04-24T13:04:31+02:00,602,37.074084,22.430792,,
24/04/17,Place in Sparta,2017-04-24T13:08:36+02:00,2017-04-24T14:49:54+02:00,6078,37.084597,22.430519,,
24/04/17,Place in Sparta,2017-04-24T14:56:51+02:00,2017-04-24T20:19:38+02:00,19367,37.073558,22.431733,,
24/04/17,Place in Mistrás,2017-04-24T20:47:48+02:00,2017-04-25T00:00:00+02:00,11532,37.115528,22.344192,,
25/04/17,Place in Mistrás,2017-04-25T00:00:00+02:00,2017-04-25T08:45:40+02:00,31540,37.115528,22.344192,,
25/04/17,Place in Mistrás,2017-04-25T08:52:14+02:00,2017-04-25T09:30:33+02:00,2299,37.114447,22.343527,,
25/04/17,Place in Mistrás,2017-04-25T09:30:34+02:00,2017-04-25T09:30:50+02:00,16,37.114447,22.343527,,
25/04/17,Place in Mistrás,2017-04-25T09:30:50+02:00,2017-04-25T09:49:38+02:00,1128,37.115528,22.344192,,
25/04/17,Place in Sparta,2017-04-25T10:09:59+02:00,2017-04-25T10:29:10+02:00,1151,37.062473,22.433074,,
25/04/17,Place in Sparta,2017-04-25T10:33:11+02:00,2017-04-25T12:56:38+02:00,8607,37.073558,22.431733,,
25/04/17,Place in Sparta,2017-04-25T13:03:21+02:00,2017-04-25T13:57:03+02:00,3222,37.084597,22.430519,,
25/04/17,Place in Sparta,2017-04-25T14:05:19+02:00,2017-04-25T14:37:52+02:00,1953,37.076854,22.436042,,
25/04/17,Place in Sparta,2017-04-25T14:42:48+02:00,2017-04-25T16:27:59+02:00,6311,37.078705,22.428166,,
25/04/17,Place in Mistrás,2017-04-25T16:42:56+02:00,2017-04-25T18:56:37+02:00,8021,37.115528,22.344192,,
25/04/17,Place in Mistrás,2017-04-25T18:56:38+02:00,2017-04-25T19:49:41+02:00,3183,37.114703,22.343307,,
25/04/17,Place in Mistrás,2017-04-25T19:49:42+02:00,2017-04-25T19:58:49+02:00,547,37.115528,22.344192,,
25/04/17,Place in Sparta,2017-04-25T20:23:28+02:00,2017-04-25T20:47:08+02:00,1420,37.090942,22.450787,,
25/04/17,Place in Mistrás,2017-04-25T21:24:47+02:00,2017-04-25T23:58:13+02:00,9206,37.093691,22.349312,,
26/04/17,Place in Mistrás,2017-04-26T00:37:23+02:00,2017-04-26T07:59:23+02:00,26520,37.115528,22.344192,,
26/04/17,Place in Amaroúsion,2017-04-26T11:00:15+02:00,2017-04-26T11:33:20+02:00,1985,38.045374,23.809108,,
